Incident Number,Cause number,Cause Description,Cause type,Risk Management Cause,Human Factors  Cause, Failed PSM Framework Element
NS-C42558E3D5,1,Air supply was used for instrument supply which allowed air to the enter inlet of the Booster Compressor from the Kimray pressure control valve. This allowed a continuous source of air to enter the process and mix with,Immediate,,,
NS-B125B85E7E,1,An electrical arc (pop) in the electrical wiring caused a short between the generator windings which lasted long enough to catch the insulation sleeve to the heater wire on fire.,Immediate,,,
NS-4710EE8790,1,Lack of Attention to the Task at Hand -Derrickman failed to realize that the pipe was continued with operating the controls.,Immediate,,,
NS-4710EE8790,2,"Poor Body Placement / Poor Judgment -Even after identifying the hazard, the IP left getting out of harm's way before trying to stop",Underlying,,,
NS-4710EE8790,3,-Work Instructions did not properly highlight while Bridge Racker is in use. hung up in the fingerboard and himself in the line of fire instead of the job areas where personnel cannot be located 09-AUG-2021 -,Root,,,
NS-28D57F30B3,1,Bull plug not installed allowing hydraulic pressure into the top drive.,Immediate,,,
NS-28D57F30B3,2,Lack of training - No one on the rig was trained on install the cup tester. -,Underlying,,,
NS-28D57F30B3,3,"Inadequate JSA - The JSA reviewed prior to testing a cup tester or the hazards involved. - to push the 5"" test assembly up the use or how to properly - BOPs did not include the use of -",Root,,,
NS-9563B7C1CA,1,Human Error: Inattention to job being performed.,Immediate,, Competency -  Lapse of Competency,3
NS-9563B7C1CA,2,Human Error: Inattention to job being performed.,Underlying,, Competency -  Lapse of Competency,3
NS-9563B7C1CA,3,Human Error: Inattention to job being performed.,Root,, Competency -  Lapse of Competency,3
NS-DBA06F51F9,1,Pitting or pipe manufacturing defect.,Immediate,,,
NS-DBA06F51F9,2,"UT and CP readings show no indication of corrosion reading reported as 0.880. Diver inspection showed occuring in the pipeline. CP no sign of third party damage ocurring to the pipeline. Therefore, it is suspected the pipe contained an isolated pit or manufacturing defect that contributed caused the leak.",Underlying,,,
NS-DBA06F51F9,3,Pitting or pipe manufacturing defect.,Root,,,
NS-A495397DCE,1,Not aware that his hand was in danger. Not paying attention to what was going on in his work,Immediate,,,
NS-A495397DCE,2,Not aware that his hand was in danger. Not paying attention to what was going on in his work,Underlying,,,
NS-A495397DCE,3,Not aware that his hand was in danger. Not paying attention to what was going on in his work,Root,,,
NS-8497899769,1,Human Error: Pilot error.,Immediate,,,3
NS-8497899769,2,Human Error: Pilot error.,Underlying,,,3
