incident,cause,text,xw_element,llm_cause_category,llm_psm_element,llm_confidence,llm_passes_agreed,llm_reason
GC-478-20240502-1620,1,Equipment failure – The structural limits of the sprag clutches were exceeded causing them to shear. This led to the uncontrolled descent of the water bag.,15,Equipment Failure,15,high,3,"Sprag clutches exceeded their structural limits and sheared, indicating a failure of inspection and maintenance to identify degradation or to ensure equipment remained within design parameters."
GC-478-20240502-1620,2,Personnel training – individuals performing the task did not have proper training on AOPS functionality.,,Management Systems,3,high,3,"Individuals performing the task did not have proper training on AOPS functionality, indicating a failure in employee competency assurance."
GC-478-20240502-1620,3,Management system – No procedure to reset the lift area when performing a 5-year load test over the side of the vessel.,8,Management Systems,8,high,3,No procedure to reset the lift area when performing a 5-year load test indicates absence of required operating procedures and work instructions for this specific task.
GC-478-20240502-1620,4,Communication – Job instructions were inadequate because testing safety systems are mentioned after the 5-year load test instead,9,Management Systems,8,high,3,Job instructions were inadequate because testing safety systems are mentioned after the 5-year load test instead
EI-259-20120304-1330,1,The CE failed to properly observe the walkway crane cab. The CE stepped off the edge of the the CE to step wrong and over extend his left,,INSUFFICIENT,,low,3,"Statement is truncated mid-clause and incomplete ('The CE to step wrong and over extend his left'), making it impossible to determine the underlying cause or which management system failure enabled this incident."
EI-259-20120304-1330,2,was taken and indicated tears and a to repair. The CE will miss before attempting to walk towards the walkway into the containment pan causing knee.,,INSUFFICIENT,,low,3,"Statement is truncated and incoherent mid-clause ('The CE will miss before attempting to walk'), making it impossible to determine the actual cause or which management system failure is being described."
EI-259-20120304-1330,3,"As per the Job Safety Analysis, the CE should have utilized the hand held radio before attempting to climb the ladder to communicate with the crane operator;",,Work Environment,17,high,3,"The Job Safety Analysis specified a control (use hand held radio before climbing) that should have been executed but was not, which is a work control failure."
EI-259-20120304-1330,4,Always clean oil from decks and walkways;,,INSUFFICIENT,,low,3,"Statement is a procedural instruction or reminder rather than a cause statement; it does not describe what failed, what was omitted, or what management system breakdown led to an incident."
EI-259-20120304-1330,5,Maintain containment pans so they do not cause oil to splatter onto decks and walkways;,,INSUFFICIENT,,low,3,"Statement is a prescriptive instruction or recommendation rather than a cause statement; it does not describe what failed or went wrong, only what should be done."
EI-259-20120304-1330,6,Cover all openings in and around falls.,,INSUFFICIENT,,low,3,Statement is an instruction or recommendation ('Cover all openings') rather than a cause statement describing what failed or was absent. It does not explain what management system breakdown led to an incident.
UNKEYED-974899945cce,1,"II Upon investigation on the platform, the one line drawings were reviewed. Th~ drawing shows that there is a switch at transformer #1 (35Kv to 4160v) & a breaker at the MCC-1. Power was removed at the beach from the sub-station where the was break~r opened. This happened on 10/01/12. Power was locked out at that point. Breaker on the 35Kv transformer on the platform was left in the closed position & the incommi~g Hillhouse & shore site main breaker was opened in the MCC-1. The cable was verified to now have power on it by the contract electrician & also the DCOR electrician. Work began & the conduit was replaced & new wires were pulled. On 10103112, the plan was to power up the cable from the beach to the platform. The 35Xv transformer was closed up & the breaker was verified closed. This was don$ so that they would not have to close the breaker with 35Kv on it. Communication was made from the beach to the DCOR rep on the platform. The DCOR rep on the platform a$ked the electrical contract form.an if it was ok to power up the line. He stated that all was good & they were clear & ready to go. When the DCOR rep contacted the rep on the beach, the rep on the beach said he needed 15 minutes to fix something. The rep on the· beach called back & said that they were ready to go. At the time the breaker on the beach was closed & powered up to then trip out on a ground fault. The IP was working on the wires that ran from the transformer to the MCC-1. Th$ lines arc flashed causing the injuries.",,INSUFFICIENT,,low,3,Statement is truncated mid-clause ('the rep on the beach said he needed 15 m') and does not clearly establish the root cause or what management system failure allowed the incident to occur.
UNKEYED-974899945cce,2,// The findings are as follows: It was found that there was no isolation permit completed for the isolation of the transformer or for the switch gear in the MCC-1.,,Management Systems,17,high,3,"No isolation permit was completed for the transformer or switch gear, indicating a failure in the work control and permit-to-work system that should have governed this isolation task."
UNKEYED-974899945cce,3,// The findings are as follows: A hot work permit was filled out for the use of electrical tools.,,INSUFFICIENT,,low,3,"Statement describes what was done (permit filled out) but does not explain what went wrong or what control failure occurred; insufficient to determine whether the permit system was absent, inadequate, or not followed."
UNKEYED-974899945cce,4,// The findings are as follows: A JHA was filled out but was not completed.,,Management Systems,17,high,3,"A JHA was filled out but was not completed, indicating a work control and task risk management process that existed but was not properly executed."
UNKEYED-974899945cce,5,// The findings are as follows: Personnel did not make sure that all personnal were clear of work areas & if work was completed before powering up the 35Kv line. OS) personnel relied on the one line drawings & did not do a job walk to verify the lines that they were working on. One line drawings do not show the J-Box in line.,,Management Systems,17,high,3,"Personnel did not verify work completion and ensure area clearance before powering up the line, and did not conduct a job walk to verify actual conditions against drawings, representing failures in work control and task risk management execution."
UNKEYED-974899945cce,6,// The findings are as follows: Personnel did not follow DCOR 1 s LOTO procedures.,,Work Environment,17,high,3,"Personnel did not follow DCOR 1's LOTO procedures, indicating a work control and permit-to-work execution failure rather than procedure design or hazard identification."
UNKEYED-974899945cce,7,// The findings are as follows: Personnel did not follow DCOR 1 s electrical safety policy.,,Management Systems,17,high,3,"Personnel did not follow DCOR 1 s electrical safety policy, indicating a work control procedure existed but was not executed during the task."
UNKEYED-d34a71a29a8c,1,The failure originated in one of six inserts (nut) in the female connector of joint,,INSUFFICIENT,,low,3,Statement identifies only the failed component ('one of six inserts (nut) in the female connector') without explaining why it failed or what management system breakdown allowed the failure to occur or go undetected.
UNKEYED-d34a71a29a8c,2,"The failure of the first insert transferred additional loads to the adjacent inserts and bolts, which subsequently failed. The high tensile loads from normal operation produced high stresses which were magnified by the design of the insert. Cracks were either initiated in the inside shoulder area from the high stresses or were created in the manufacturing process. These cracks provided a means for the initiation and propagation of hydrogen embrittlement, leading to environmentally assisted cracking (EAC) and ultimate failure. After the first insert failed, the load it was holding was transferred to the adjacent bolts and inserts, increasing their tensile loads and stresses. These additional loading stresses made the adjacent inserts more susceptible to EAC. Consequently, four of the five remaining inserts failed in a similar manner and the last bolt failed under tension.",,Equipment Failure,6,high,3,"The design of the insert produced high stresses and cracks were initiated from high stresses or created in manufacturing, enabling hydrogen embrittlement—hazards that were never identified in the original design assessment."
UNKEYED-d34a71a29a8c,3,Three conditions must exist for EAC to propagate: 1) the material must be stressed;,,INSUFFICIENT,,low,3,Statement is truncated mid-clause and describes a technical condition for EAC propagation rather than identifying a management system failure or root cause of an incident.
UNKEYED-d34a71a29a8c,4,it must be susceptible to EAC; 3) it must be in an environment that has some means of transferring hydrogen atoms to the material. The potential for EAC increases as the potentials of these circumstances increase.,,INSUFFICIENT,,low,3,Statement describes technical conditions for environmentally assisted cracking (EAC) but does not identify a management system failure or root cause of an incident; it reads as incomplete technical explanation rather than a cause statement.
UNKEYED-d34a71a29a8c,5,STRESS,,INSUFFICIENT,,low,3,The statement 'STRESS' is a single word with no substantive detail about what management system failure or control breakdown occurred. It names a condition but does not describe a preventable cause or failed process.
UNKEYED-d34a71a29a8c,6,The inserts were designed with an inherent stress riser (stress concentration area) in the inside corner. This design increases the surface tensile loads in that area.,,Equipment Failure,6,high,3,The design flaw created an inherent stress riser that was not identified as a hazard; proper hazard identification and risk assessment during design would have detected this stress concentration area.
UNKEYED-d34a71a29a8c,7,It was determined that cracks initiated in the inside shoulder of the inserts. They were either formed in the manufacturing process or they were caused by extreme tensile stresses due to the stress riser.,,Equipment Failure,15,high,3,Cracks initiated in manufacturing or from stress risers indicate a failure in inspection and maintenance to detect material defects or design inadequacies in the inserts before operational use.
UNKEYED-d34a71a29a8c,8,MATERIALS,,INSUFFICIENT,,low,3,"The statement 'MATERIALS' is a single word with no descriptive content about what failed, why it failed, or what management system should have prevented the failure."
UNKEYED-d34a71a29a8c,9,The insert material was hardened steel. Hardened steel lends itself to hydrogen embrittlement and EAC.,,Management Systems,6,high,3,"The material's susceptibility to hydrogen embrittlement and EAC was not identified as a hazard, indicating a failure in hazard identification and risk assessment for the selected insert material."
UNKEYED-d34a71a29a8c,10,HYDROGEN SOURCE,,INSUFFICIENT,,low,3,"Statement merely names a source or component ('Hydrogen Source') without describing a failure mode, control breakdown, or management system deficiency."
UNKEYED-d34a71a29a8c,11,Seawater can be considered a corrosive environment and could possibly have been the source of hydrogen.,,Management Systems,6,high,3,"Seawater corrosion as a source of hydrogen was not identified as a hazard, indicating a failure in hazard identification and risk assessment."
UNKEYED-d34a71a29a8c,12,"Thermally sprayed aluminum (TSA) was used to coat the body of marine riser joints for corrosion protection. The contractor has performed tests that show when TSA is in the presence of hydraulic control fluid, it becomes cathodic to steel, creating an electro-chemical reaction. This would provide a transfer of electrons to the insert and cause hydrogen embrittlement. Evidence suggests that a reaction such as this may have taken place on the first insert that failed. The average safety factor in the design of the insert at the inside shoulder area was around 2.0. This is acceptable provided the service environment is considered, there are no flaws in the manufacturing process and it sustains no damage throughout its life. A better design would have a much higher safety factor to overcome the effects of the environment and to negate flaws that are not discovered.",,Management Systems,6,high,3,"The hazard of TSA coating becoming cathodic to steel in the presence of hydraulic control fluid, creating hydrogen embrittlement, was not identified during design; the statement notes 'a better design would have a much higher safety factor to overcome the effects of the environment' indicating the s"
UNKEYED-d34a71a29a8c,13,(Cont.) INVESTIGATION FINDINGS:,,INSUFFICIENT,,low,3,Statement is a section header with no substantive cause information; it does not describe what failed or what management system should have prevented an incident.
UNKEYED-d34a71a29a8c,14,EAC was confirmed as a failure mechanism.,,INSUFFICIENT,,low,3,"Statement merely names a failed mechanism (EAC) without describing the underlying cause, context, or what management system failure allowed it to occur."
UNKEYED-d34a71a29a8c,15,"Stress analysis showed stresses alone were not a. Tension in flange at time of incident - 1.7 MM b. Rating of flange - 2.5 MM lb sufficient to explain failure. lb c. Flanges above failed location subject to higher tension. d. All five failed inserts exhibited low-energy fracture surfaces versus 100% ductile, which would be associated with an overload failure.",,INSUFFICIENT,,low,3,"Statement is truncated mid-analysis and does not articulate a root cause or management system failure; it presents technical observations (stress measurements, fracture surface analysis) without explaining why the flange design, inspection, or maintenance system failed to prevent the incident."
UNKEYED-d34a71a29a8c,16,No evidence was found to support metallurgical findings and analysis,,INSUFFICIENT,,low,3,Statement is too vague and truncated; it names a finding ('no evidence for metallurgical analysis') but does not explain what management system failure allowed this condition to occur or recur.
UNKEYED-d34a71a29a8c,17,Investigation supports unzipping and progressing to adjacent inserts,,INSUFFICIENT,,low,3,"Statement is too vague and technical jargon-dependent ('unzipping and progressing to adjacent inserts') without explaining what failed, why it occurred, or what management system should have prevented it."
UNKEYED-d34a71a29a8c,18,"Metallurgical analysis points to work ongoing to determine source of fatigue as the primary mode of failure, based on of recorded current data. hypothesis of cracking initiated in insert 39-6 until final failure of the riser connection. hydrogen charging as most probable root cause with hydrogen.",,INSUFFICIENT,,low,3,"Statement is incomplete and truncated mid-clause ('hydrogen charging as most probable root cause with hydrogen'); describes a failure mode (fatigue cracking, hydrogen charging) rather than a management system failure or human action that could have prevented it."
