Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
MR-972CB4703F,,,2021-02-05,08:00,2021-02-08,MC,204,DIAMOND OCEAN QUEST,,Drilling,,Loss Event,Health & Safety,,,SYN-1c44bb,Marine Coordinator,SYN-6311a4,HSE Advisor,SYN-13213e,Marine Coordinator,2021-02-20,SYN-a89763,Production Foreman,2021-06-06,"At 7:45 a.m. a contract employee was removing shale build up on sides of shaker auger
using a paint scraper to remove the build up so that the auger could disperse the
cuttings. His supervisor went to get a high pressure hose to clean all the remaining
residue, during which time the victim put the scraper down and noticed a large piece
of shale was still on the side, he then used his right hand to knock the piece of
shale into the trough where the auger dispense it over the side. He stated that when
the shale gave way he lost his balance and which caused him to fall foreword and into
the trough where his hand came into contact with auger. This resulted in the loss of
his right hand's ring finger fingernail being pulled off along with skin on his
second finger exposing the flesh and knuckle joint.
During normal operations there is a front cover to prevent mud from being
thrown onto walkway.
The auger at time of accident had the front cover removed to gain access
to area where shale had built up due to caking.
During drilling operations a high pressure hose is used to wash the built up material
into the auger and then send it overboard. The hose was on a lower deck, and shaker
personnel were using paint scrapers to clean away the shale build up.
The JSA for the shale shaker does not address the proper methods that
personnel should adhere to when removing build up drill cuttings during drilling
operations.
The auger is approximately 1'-1½' below the bottom of the drum and is
spinning during operations. A cover plate prevents personnel from coming in contact
with moving parts. Victim was scraping material directly into the auger without the
cover in place, and was working directly above the spinning auger when accident
occurred. He was treated by the onboard medic and medivaced to Terrebonne General
Hospital in Houma.
Findings:
1) The JSA for operation of this piece of equipment did not contain information on
the safe methods of cleaning the auger and related equipment, nor is there any record
on board the drilling rig indicating that personnel working with this equipment were
briefed in the daily operations and maintenance during drilling operations.
2) Auger system was not locked out while attempt was made to clean dryer frame.
3) The clean up operation was not performed with the supervisor present or in the
presence of another employee. The other employee stepped away to check on other
equipment at the time of the accident.",The incident resulted in an injury recorded without a severity code.,,,,,,,,,,,,,,,
MR-C22ED726E5,,Incident,2021-03-01,16:10,2021-03-13,GC,389,,NOBLE STANLEY LAFOSSE (FKA,Maintenance,LIFTING,Loss Event,Environment & Reputation,Loss of Containment,,SYN-701a0f,Marine Coordinator,SYN-0367fa,HSE Advisor,SYN-bf1702,Production Foreman,2021-06-15,SYN-eb109c,Maintenance Supervisor,2021-08-25,"On March 1, 2021, an incident occurred on the drillship Noble Stanley Lafosse which
was working under contract for Murphy Exploration and Production Company. Completion
operations were being conducted at Green Canyon Block 389, OCS–G35864 Well SS01.
There was a reported discharge of approximately of 558 barrels of Zinc Bromide (ZnBr2)
into the Gulf of Mexico due to the activation of the Emergency Disconnect Sequence
(EDS) on the Lower Marine Riser Package (LMRP) due to inclement weather.
On February 28, 2021, the operator had just finished fracking the well and tested the
Gravel Pack Assembly and the Mechanical Closing Sleeves (MCS) to 1,000 psi for 10
minutes resulting in a good test. The drill crew proceeded to pull out of the hole
(POOH) with the drill string while monitoring the trip tank for proper displacement.
On March 1, 2021, at 00:07 hours, the operator received verbal approval from the
BSEE Houma District to prepare the wellbore as requested for a weather event. After
holding a Pre-Job Safety Meeting, the lower blind shear rams (LBSR) were closed to
test the LBSR, Gravel Pack Assembly and the closed MCS with 15.1 pounds per gallon
(PPG) ZnBr2 which resulted in a failed pressure test. An attempt was made to test
again closing the Upper Blind Shear Rams (UBSR) resulting in another failed pressure
test. The operator decided to have the drill crew make up a weighted bottom hole
assembly (BHA) to hang below the storm packer and trip in the hole (TIH). On January
15, 2022, at 14:21 hours, the operator received verbal approval to proceed with
running the storm packer as requested and retest the blind shear rams. At 15:00
hours, the drill crew was instructed by the operator to stop TIH in the hole, and at
15:30 hours, to start POOH after a discussion with their management in town. At
approximately 16:10 hours, the weather event occurred which compromised the rig's
Dynamic Position (DP) into a red alert status. The EDS sequence was initiated from
the drill floor panel and the LMRP was unlatched from the Blow Out Preventers (BOP).
All the BOP fail safe valves, UBSR, and LBSR were confirmed closed and the rig
transited 30 meters to the south of the well location, arriving in the safe zone area
at approximately 16:29 hours. Visual deck checks for damage were made with none noted
and a calculated volume of 15.1 PPG ZnBr2 lost in the Gulf of Mexico was estimated to
be 558 barrels.
Due to Covid-19 pandemic protocols, the Bureau of Safety and Environmental Enforcement
(BSEE) team was unable to conduct an initial onsite investigation at the time of this
incident. However, an investigation team was able to collect documentation and photos
furnished by the operator at the team’s request. The investigation team reviewed the
documentation and noted that the operator had set the gravel pack assembly and pumped
the frac pack. The frac sleeves were closed and a successful 1000-pound pressure test
was performed on the gravel pack assembly and the sliding sleeves before POOH. Due to
inclement weather approaching, the operator submitted a procedure to the BSEE Houma
District in preparation if an EDS sequence was initiated to disconnect the LMRP from
the BOP. The kill line was displaced with seawater and then closed. The LBSR were
then closed, a 250 PSI low pressure test was initiated and successful, immediately
followed by a high-pressure test of 1,000 psi. This test failed and the operator
began to troubleshoot by investigating for leaks on the surface BOP equipment but to
no success. The UBSR were then closed, and a similar 1,000 psi test was performed,
resulting in a failed test. With the leak suspected to be below the BSRs due to no
gains in the trip tank while pressure testing, the operator was granted approval from
the BSEE Houma District to set a storm packer below the BSRs. At 12:00 hours on
March 1, 2021, a storm packer assembly was made up and ran in the hole, but with
the weather conditions worsening, the operator decided to stop TIH. At 15:30 hours,
the drill crew started POOH to displace the riser with seawater. At approximately
16:10 hours on March 1, 2021, the drillship’s DP position was compromised into a
red alert status due to high winds and a misaligned thruster. The EDS sequence was
initiated from the drill floor panel, successfully disconnecting the LMRP from the BOP
stack. All BOP fail safe valves, UBSR, and LBSR were confirmed closed and the LBSR
moved to the block position as per EDS sequence initiation. The drillship proceeded
to the safe zone and waited on the weather conditions to subside.
The team determined that on March 1, 2021, the operator failed to complete the
submitted Well Suspension Procedure in a safe and timely manner knowing inclement
weather was approaching. This resulted in an EDS instead of a planned and safe
disconnect of the LMRP. At the time of the EDS, Noble estimated that 558 barrels of
ZnBr2 from the riser was discharged into the Gulf of Mexico, but revised the amount to
approximately 420 barrels based on calculations from recovered volumes.
The investigation team also noted in reviewing the operator’s investigation report
that there was an issue with Thruster-2 when it was enabled in the DP system.
Thruster-2 is located on the port bow and was found to be 180 degrees out of
alignment. As the DP system detected an increase in wind speed, the thrust commands
were increased towards the wind to maintain the drillship’s position. When the DP
system increased the thrust on Thruster-2, it increased but in the opposite direction,
thus going in the same direction as the wind. Due to sudden changes in the wind
direction and speed triggered significant forces from Thruster-2 causing the drillship
to not maintain its position.
Since this incident, the operator has corrected the misalignment of Thruster-2 and
will perform a DP and Thruster Control System verification by the manufacturer.",Reported as a pollution release.,Incident,,Incident,8,D,2,,,C,,,,,,
MR-BEFD60BE63,,Serious Incident,2021-04-17,05:30,2021-04-20,MP,64,20,,Construction,LIFTING,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-72dd0f,Operations Superintendent,SYN-fc9135,Facility Engineer,SYN-ea80db,Operations Superintendent,2021-05-06,SYN-25bd73,Maintenance Supervisor,2021-09-17,"Investigation Findings: On 17 April 2021 at 0530, an allision occurred while en
route to the Main Pass 69-E (a W&T Caisson, Lease OCS-G 00372) platform with four
Superior Wireline operators and one W&T Operator onboard. The Motor Vessel (M/V) Sea
Service 1 struck the Medco Energi US LLC Main Pass (MP) 64 #20 (Lease OCS-G 04909)
unmanned caisson single jacket platform. The platform well was shut-in at the time of
the incident. The weather conditions at the time of the incident were 1/8 mile
visibility, seas 1-2 foot light chop, winds at 6.5 ENE. There were no injuries onboard
the M/V or the caisson.
While the M/V Sea Service 1 was en route to the Main Pass 69-E platform, the captain
turned his radar on to see the cluster of caisson platforms in the MP 64-A field. By
the time the captain looked up, he saw a blinking light (Navaid lights) off the port
bow side of the M/V approximately 30 feet from the caisson. The captain then swung the
M/V hard to the starboard side to try avoiding an allision with the caisson platform.
The M/V captain stated that the M/V reacted slowly due to the current pushing the M/V
toward the caisson platform. The port bow of the M/V then allided with the boat
landing on the caisson, severely damaging the M/V, putting a two-foot slice in the #1
fresh water tank approximately 5 foot above the sea water line. The M/V damaged the
boat landing, deck grating, and bracing access ladder from the waterline.
The M/V captain immediately shut down to inspect the damage caused by the allision.
After the captain and crew onboard assessed the damage, they decided to go to a nearby
facility. The crew onboard then traveled to the Medco Energi (MP 64-AQ) main facility
(which was the nearest facility) so that the crew onboard could be safely evacuated
from the M/V and inspect the damages. The crew was then transferred by crane utilizing
the personnel basket onto Medco’s field boat (M/V Jacob C) so they could continue on
to their destination (MP 69-E).
The M/V captain called the base and notified the USCG of the incident that just
occurred. The captain also documented the damage by taking photos of the boat landing
when it occurred; and when reaching the main facility, photos of the M/V were taken as
well. Medco Energi was notified of the damages to the facility, and they sent a team
to obtain an estimated cost of the repairs to be made.",There were no injuries onboard the M/V or the caisson.,Serious Incident,,Serious Incident,12,D,3,,,,,,,B,,
MR-FB054BF312,,,2021-05-10,06:40,2021-05-16,GB,1003,,PACIFIC KHAMSIN,Construction,LIFTING,Loss Event,Health & Safety,Injury Minor,,SYN-c3a9b1,Marine Coordinator,SYN-39ef9d,Marine Coordinator,SYN-b1ca35,Operations Superintendent,2021-10-15,SYN-9358a1,Facility Engineer,2022-01-18,"At 0755 hours on 10 May 2021, the injured party (IP), who is a third party
contracted Floorhand employed by Prime Ocean (PO) sustained an ankle injury onboard
the Pacific Drilling Khamsin drillship while conducting drilling operations for Total
E&P USA, Inc. (Total) at the surface location of Garden Banks Block 1003. The PO
Floorhand received medical attention from the Rig Medic and was evacuated for a
medical evaluation by an onshore physician. Total notified the BSEE Lafayette
District about this incident at 1117 hours on 10 May 2021.
On 10 May 2021, the IP was changing out elevator inserts on the hydraulic drill
pipe elevators. To change the inserts, the elevators were positioned on the rig floor
with the bails extended out so that the Floorhands can remove the metal segments by
manually lifting or dragging the segments out of the elevator body. The IP was
removing the bushings for the 5-inch drill pipe. As he lifted up on an elevator
insert, his right leg moved and his left foot slipped into the 4.5-inch HydraRacker
track gap. As a result, he lost his balance and fell, causing his left ankle to
strike the HydraRacker track, resulting in injury.
The IP was treated by the Rig Medic and at 1012 hours on 10 May 2021 and
evacuated by helicopter from the rig to Terrebonne Medical Center for a medical
evaluation. A doctor diagnosed that the IP had sustained a fractured fibula that
required surgery.",A doctor diagnosed that the IP had sustained a fractured fibula that required surgery.,,,,,,,,,,,,,,,
MR-2792493DB3,,,2021-05-28,09:50,2021-06-09,MI,622,C-PRD,,Maintenance,LIFTING DEVICE,Loss Event,Health & Safety,Injury TLI,,SYN-a183b1,HSE Advisor,SYN-fcc652,Operations Superintendent,SYN-e7e9e1,Maintenance Supervisor,2021-06-29,SYN-2d4061,Operations Superintendent,2021-09-27,"On May 28, 2021 at approximately 0830, an injury occurred at Fieldwood Energy's
Matagorda Island (MI) 622 'C' platform, Lease G-05000.
At approximately 0800, Operators were not receiving a flow rate indication on the
Programmable Logic Controller (PLC) from the gas outlet meter on the #4 Production
Separator, MBD-2000. The MI 622 'C' facility consists of four (4) connected
structures: Quarters, Wells, Production, and Compressor. The #4 Production
Separator is located on the 'C' Production structure. The Contract 'A' Operator /
Injured Party (IP) proceeded to the #4 Production Separator to determine why the PLC
was not receiving a signal or flow rate indication. The IP decided to verify that an
Orifice Plate (OP) was properly installed in the Daniels Senior Orifice Fitting. The
IP manipulated the OP carrier shaft in the body (lower chamber) of the Senior Orifice
Fitting (SOF) and it turned freely indicating the OP carrier was located in the top
(upper chamber) of the SOF. The IP verified the OP and carrier location by turning
the OP carrier shaft in the upper chamber of the SOF, and it did not turn. This also
indicated the slide gate was closed. The IP opened the blow down valve on the upper
chamber of the SOF to remove line pressure. The blow down valve on the upper chamber
of the SOF relieved briefly and the IP assumed there was no pressure remaining. The
IP started by loosening the first clamp bar bolt on the top of the SOF closest to his
body. When the IP began to loosen the second clamp bar bolt, there was a pressure
release of approximately 915 pounds per square inch gauge (PSIG). Natural gas and
debris blew upward striking the IP on the left side of his face and left eye. The IP
immediately went to the eye wash station and began to irrigate his face and left eye.
The Person in Charge (PIC) heard the gas release and immediately reported to the
scene. The PIC activated the Emergency Shut Down (ESD) and observed the IP at the
eye wash station. The PIC assisted the IP to the Medic. The Medic continued face
and eye washing procedures for approximately 40 minutes until the Field Helicopter
arrived. The Field Helicopter arrived at MI622'C' at approximately 0920 and
transported the IP to Christus Spohn Memorial Hospital in Corpus Christi, TX.",The incident resulted in a lost-time accident with more than 3 days lost. The facility was evacuated.,,,,,,,,,,,,,,,
MR-93C6B01EFA,,Incident,2021-06-18,06:00,2021-07-11,GC,237,A-Typhoon TLP,,Production Operations,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,SYN-8697e5,Maintenance Supervisor,SYN-18696c,Operations Superintendent,SYN-0be1f8,Production Foreman,2021-08-02,SYN-92489c,Facility Engineer,2021-11-27,"In preparation for Hurricane Rita, the Typhoon TLP was evacuated on 6/15/2021. All
operations were secured and all wells were shut-in. Following the passage of
Hurricane Rita, the Typhoon TLP was found floating upside down, grounded in Eugene
Island block 271.
The path of Rita was a southeast to northwest direction passing to the south of the
Typhoon TLP. This path placed the TLP at approximately 46 miles from the center of
the eye of Hurricane Rita at the closest point. At 0602 hrs CDT on 09/23/05, the
Emergency Position Indicating Radio Beacon (EPIRB), located inside lifeboat #2 began
broadcasting. At 0627 hrs CDT on 09/23/05, the EPIRB inside lifeboat #1 began
broadcasting. These broadcasts indicated the approximate time of capsizing.
TLP Orientation
The TLP was oriented in the GC 237 block with the #2 pontoon at the 12 o'clock
position (12 o'clock position has a heading of 0 degrees), the #3 pontoon at the 8
o'clock position and the #1 pontoon at the 4 o'clock position. The tendons are
numbered 1-6 starting on pontoon #1 and progressing counterclockwise. Therefore,
tendons 1 & 2 are on pontoon #1, tendons 3 & 4 are on pontoon #2, and tendons 5 & 6
are on pontoon #3. The flare boom and #2 lifeboat are located on the northwest side
of the structure between pontoons 2 & 3. The quarters and heliport are located on
the southeast side of the structure directly over pontoon #1.
Metocean hindcast data indicates the following probable metocean conditions at the
Typhoon TLP location at the time of capsizing:
- 1 Hour Wind = 83 mph towards 266 degrees heading
- Significant Waves = 43.5 feet towards 288 degrees heading
- Peak Wave Period - 14.4 seconds
- Inertial Current - 2.97 knots towards 349 degrees heading
Rig Movement Data indicates:
- GPS data analysis indicates that the Mobile Offshore Drilling Unit (MODU) Diamond
""Ocean Star"" begins drifting at approximately 23:00 hrs CDT on 09/22/05.
- GPS data analysis indicates that the MODU Noble ""Therald Martin"" begins drifting at
approximately 02:30 hrs CDT on 09/23/05.
- GPS data analysis indicates that the MODU Noble ""Max Smith"" begins drifting at
approximately 03:00 hrs CDT on 09/23/05.
- The MODU Transocean ""Marianas begins drifting at an unknown time. There is no GPS
data available for analysis.
- Based on original positions of the rigs and the GPS tracks, none of the rig
contacted the TLP. Also, based on time, speed,and distance analysis of the
Transocean ""Marianas"", the ""Marianas"" was still approximately 25-30 miles to the
southeast of the TLP at the time of capsizing.
An inspection of the TLP hull was conducted along with inspections of the the suspect
MODUs. No impact marks on the TLP pontoons or hull were found. The TLP platform
decks have limited damage. The flare boom side of the TLP shows visible damage,
however, the damage does not match up to any deck or column damage on the MODUs.
High resolution sidescan sonar and ROV surveys were conducted at Green Canyon 237.
All drag marks not associated with the ""Therald Martin"" or ""Max Smith"" were old
features and did not occur during Hurricane Rita. There is no evidence of snagging
of the steel cantenary risers (SCRs), risers, flowlines, or umbilicals.
Inspection of the tendon porches, hull upper structure, pontoons, central shaft, and
ballast tanks revealed the following:
- Major damage on tendon porches 3, 4, 5, and 6.
- Little damage on tendon porches 1 & 2.
Post incident hull and pontoon inspections revealed:
- Pontoons 1A and 1B revealed no water.
- Pontoons 2A and 2B revealed no water.
- Pontoons 3A and 3B revealed no water.
- Only central shaft had evidence of water in TLP prior to capsizing.
ROV surveys of the bottom connectors at the GC 237 location revealed:
- Tendons 3, 4, & 6 bottom connectors were still located inside the piles.
- Tendons 1, 2, & 5 bottom connectors were located outside the piles and buried
approximately 40-80' into the mud.
- Recovered bottom connectors 1, 2, & 5, all had separated bodies; and all lock rings
were missing.
- Recovered shrouds from piles 1 & 5 have identical damage features.
- Shroud from bottom connector 2 (inside pile 2) was not recovered. It appeared to
be relatively undamaged.
3D Photogrammetry was conducted inside the bottom piles. Markings were matched up on
the bottom connectors and inside the piles. The 3D Photogrammetry revealed that the
damage and markings inside drive heads and receptacles of piles 1 & 5 were similar.
The #2 pile drive head and receptacle indicated very little damage & markings. The
3D Photogrammetry also revealed similar damage on the load shoulder locations
(associated with the lock ring ""gap"" and 180 degrees from the lock ring ""gap"") on
piles 1, 2, 4, & 5.
Finite Element Analysis (FEA) of the Lock Ring
FEA of the lock ring indicates non-uniform load transfer associated with the lock
ring ""gap"" when subjected to 100 thousand pounds(kips) of tension and 122 thousand
foot pounds bending force. However, the FEA does not show applied load is sufficient
to cause failure. The FEA was conducted with 3250 kips of tension and no bending.
This analysis also revealed non-uniform load transfer with the lock ring ""gap"".
- Lock ring material by design is stronger than the load shoulder inside the
receptacle.
- Lock rings were not found on the location.
Testing of the flex joint portion of the #1 bottom connector confirmed that the flex
joint had rotational stiffness properties as per the basis of design.
Evidence Summary of Downward Motion or ""Short Stroke""
- Short strokes were observed on all tendons during installation. Some short strokes
were approximately 10"".
- Evidence indicates downward motion in pile 5. Capsizing rotation strokes bottom
connector down. This stroke downward is as much as 8' at 20 degrees list. At this
point tendons 4 and 5 go slack immediately. Tendons 3 and 6 go to peak tension.
- There is little evidence of downward motion
be old. Marine gowth is on top of the marks.
from work boots are easy to make.
- There is little evidence of downward motion
be old. Marine growth is on top of marks.
Tendon Tension
- Model testing of the TLP and tendons
simultaneous minimum tensions on all tendons.
in pile 1. Marks in pile 1 appear to
Identified white marks (footprints)
in pile 2. Marks in pile 2 appear to
indicate that large waves can generate
This phenomenon is called ""ringing"" of
the tendons. (Note: Actual ringing was measured during Hurricane Lili.)
- The model testing indicates that extremely low tensions (<500 kips) is only seen
from wave impact on the production deck.
- No physical evidence of wave impact on the TLP production deck.",Reported as a pollution release.,Incident,,Incident,6,C,2,,,C,,,,,,
MR-70547D084A,,,2021-06-24,21:22,2021-06-27,AC,815,,NOBLE CLYDE BOUDREAUX,Maintenance,LIFTING DEVICE,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-aecefa,Facility Engineer,SYN-27ee78,Production Foreman,SYN-6d9afc,Production Foreman,2021-07-24,SYN-5ed06c,Marine Coordinator,2021-08-08,"On June 24, 2021 at 21:30 hours the Noble Clyde Boudreaux semi-submersible drilling
rig was engaged in Marine Riser running operations. The riser running operations was
being staged to coincide with the completion of mooring operations. Riser joint
number 107 was landed in the spider gimble, which put the Blowout Preventer Stack
(BOP) at a depth of 8400 feet Rotary Kelly Bushing (RKB). A satisfactory test of the
Choke and Kill lines was conducted to a pressure of 7500 psi. The rigid conduit lines
were left charged to 5000 psi to monitor pressures while waiting for the next stage
of riser running. During this time frame there was a sporadic change in the
pressures at the surface panel. The Remotely Operated Vehicle (ROV) was jumped to
perform a stack supply pressure inspection of the manual gauges on the Lower Marine
Riser Package (LMRP) and the following observations were made. At 21:15 hours, all
pressures were observed to be normal on the LMRP manual gauges. At 21:22 hours the
pressures on the Conduit, Supply Pressure, Pilot Pressure and Manifold Pressure fell
to 0 psi. The ROV also observed a cloud of what was assumed to be BOP fluid
developing around the LMRP. At 21:25 hours, the ROV visually confirmed that the BOP
package had disconnected from the LMRP.
A bottom survey utilizing the ROV confirmed that the BOP had fallen approximately
1400 feet to the seafloor. The BOP was found lying half submerged in the sea floor on
a heading of 250°, approximately 180 feet from the Rig 1 Rotary Center.","Reported as damage over $25,000. Estimated property damage $750,000.",,,,,,,,,,,,,C,,
MR-9EFAB2509E,,Incident,2021-07-01,07:30,2021-07-09,SS,181,B -PRD,,Drilling,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,SYN-98daf2,Production Foreman,SYN-72e282,Facility Engineer,SYN-3aa4c9,Maintenance Supervisor,2021-07-30,SYN-e72a69,Facility Engineer,2022-07-29,"At 0615 hours on 1 July 2021, the facility Operator, employed by Danos and Curole and
operating for Chevron U.S.A., Inc., began experiencing a production system upset that
resulted in pollution of the Gulf waters. At 0845 hours, Bureau of Ocean Energy and
Management, Regulation, and Enforcement (BOEM) inspectors (formerly M.M.S.)
and were flying offshore to another destination when pollution
was spotted coming from Ship Shoal 181 B facility. After landing on the facility,
Inspector went directly downstairs on the B-Production facility to
investigate the pollution incident while Inspector went to facility
office on B-Drill facility to sign in. Inspector , now on production deck,
saw no one and proceeded downstairs to the cellar deck where the Petrolite water
clarifier unit is located and observed pollution coming from the Petrolite's
overboard water discharge pipe. Mr. then went back up to the production deck
where he found the facility Operator at the safety panel. The Operator informed Mr.
that the problem with the production system was that the water dump valve on
the heater treater failed causing an excessive amount of hydrocarbons to dump to the
skimmer. This in turn caused a high level in the skimmer, which then carried over an
excessive amount of hydrocarbons into the Petrolite water clarifier unit. Oil was
then released into the Gulf through the Petrolite overboard water discharge line. The
Operator informed Mr. that he was trying to correct the system upset while the
platform continued to produce. Mr. then informed the Operator that the
pollution needed to be stopped immediately, at which point the Operator shut in the
platform at the panel and then went to the petrolite and closed the manual block
valve on the overboard water discharge line.",Reported as a pollution release.,Incident,,Incident,6,C,2,,,C,,,,,,
MR-6B21CAC6FE,,,2021-07-23,19:25,2021-08-01,GI,78,A,,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury TLI,,SYN-cf413a,Production Foreman,SYN-03b3d7,Maintenance Supervisor,SYN-7d02b7,Marine Coordinator,2021-09-19,SYN-2da8c6,HSE Advisor,2022-05-05,"On July 23, 2021, at approximately 19:25, at Arena Offshore, LLC's OCS-G 12989,
Grand Isle (GI) 78 A Platform, a rigger was injured when a hydraulic hose struck him
across his safety glasses, scraping his nose and cutting his left eyelid while
changing out two hydraulic hoses on a crane, as a result of human error. Injured
Person (IP) initially received first aid after the incident and then was sent onshore
to seek medical treatment on July 24, 2021. IP was treated by ENT Physician on
July 25, 2021 and August 1, 2021, and was released to return to work.",The incident resulted in a lost-time accident with more than 3 days lost. The facility was evacuated.,,,,,,,,,,,,,,,"Sequence of Events:
While changing out two hydraulic hoses on crane, the mechanic was pulling on one
while rigger was guiding it out. It came out and hit the rigger across his safety
glasses; scraping his nose and left a small cut on left eyelid. Provided first aid
and let him rest for evening. Later he complained of headache and further evaluation
indicated he may have broken his nose. IP was sent onshore for medical treatment.
Injured party was treated by ENT Physician from 09-28-07 and 10-05-07, and released
to return to work."
MR-CF0AC80E08,,Incident,2021-07-23,06:30,2021-08-03,MC,243,A(MATTERHORN SE,,Construction,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,,,SYN-981638,Maintenance Supervisor,,,,,,,"-
The Nabors Super Sundowner XIX Rig was working on the A-5 Well at the time of the
incident. The Rig's two man cleanup crew was washing down the rig floor. The crew was
utilizing a large vacuum unit with cutting boxes to prevent wash water and drilling
mud from migrating to open drains. Note: All drill floor deck drains were plugged.
There was a heavy down pour of rain that lasted about 30 minutes, dumping 1"" of water
on the deck. The crew was unable to vacuum all deck water and drilling mud before
going into the platform's open drainage system, down to the open bottom sump. Once
the mud entered the sump, it passed through a layer of oil, and pulled oil with it
out the bottom of the sump and created a sheen in the
of discharge is 0.000757 gallons.",Reported as a pollution release.,Incident,,Incident,8,D,2,,,C,,,,,,
