report_id,year,text,bsee_category,xw_element,llm_cause_category,llm_psm_element,llm_confidence,llm_reason
233d1399f9028eaf,2007,Human Error: Lack of communications between crew member 19.,Human Performance Error,3,INSUFFICIENT,,high,"eleven words, truncated mid-clause at 'crew member 19.'; names no counterparty and no control"
9e19778ca8288b40,2008,"Human Error: Equipment on deck of the boat was not secured properly. Injured Person was not in a safe place where he could move out of the way if equipment shifted. Equipment on boats, that is capable of movement should always be secured. Personnel should be aware of all hazards present and situatio",Human Performance Error,3,Human Performance Error,6,medium,"'Personnel should be aware of all hazards present ... should have been addressed in work' names hazard recognition, not a skill gap"
0948a4ba368a5804,2012,Equipment Failure: ENI final investigation revealed that the resulting fire was caused by a failed internal thrust bearing that allowed temperature increase in the presence 19.,Equipment Failure,15,Equipment Failure,15,high,"'failed internal thrust bearing that allowed temperature increase' is bearing condition, which inspection and condition monitoring exist to catch"
cb8c725ba1ed1030,2018,"• Management Systems- Inadequate Management of Change (MOC) procedures: The change in water production did not prompt a review of the produced water handling system. • Human Performance Error - inadequate knowledge of equipment operations: With the ongoing pollution, personnel continually adjusted c",Management Systems,8,Management Systems,12,high,'Inadequate Management of Change (MOC) procedures: The change in water production did not prompt a review'
7088e4de863c77b4,2019,Equipment failure – Flawed equipment design: The UPS system failed due to shorted capacitors and undersized fuses on the inverter capacitor bank Equipment Failure - Flawed equipment construction: Generator swapping operations caused the loss of normal power on the facility.,Equipment Failure,15,Equipment Failure,11,high,'Flawed equipment design ... undersized fuses on the inverter capacitor bank' was wrong when fitted; no maintenance regime finds a specification error
6bebe999bb099492,2019,• Management Systems: Inadequate job procedures - The Renaissance operating procedure did not provide specific glycol startup procedures specifying circulation time before raising the temperature above 220 degrees F. • Equipment Failure: Lack of Insulation – Lack of insulation on the Reboiler Stack ,Management Systems,8,Management Systems,8,medium,'operating procedure did not provide specific glycol startup procedures specifying circulation time' is a procedure content gap; element 13 competes because the gap is about start-up
b2febb71716d60c5,2020,Management Systems: The JSA and the Nabors procedure “OPS-WIN-019” did not contain specific instructions on how to slow the block speed; and to set the overpull to accommodate the weight of the block and single casing joint. 19. The crane was not used to control the free lower end of the joint of ca,Management Systems,8,Management Systems,8,high,'The JSA and the Nabors procedure OPS-WIN-019 did not contain specific instructions'
b4efd723ca8ddd8d,2020,• Human Performance Error - Inattention to task: BP production before verifying that the workover fluids N/A,Human Performance Error,3,INSUFFICIENT,,high,'BP production before verifying that the workover fluids N/A' is truncated to incoherence
076fe9111e4508b2,2022,Equipment Failure: Piston rod failed. 19. Piston rod penetrated engine housing,Equipment Failure,15,INSUFFICIENT,,medium,"'Piston rod failed' names a part and no cause; 15 would be the crosswalk default, not a judgement"
4aa850016b01eeb4,2022,"• Human Performance Error - Inattention to task: Torch was stored away without closing the bottle valves, depressurizing the lines, and ensuring the torch head valves were fully tightened. • Human Performance Error – Not aware of hazards: While workers were utilizing the plasma cutter, sparks came i",Human Performance Error,3,Human Performance Error,17,medium,"'Torch was stored away without closing the bottle valves, depressurizing the lines' is control of stored energy between tasks"
6cecf8f0a5c010ad,2022,• Equipment Failure: Rod piston seal failure.,Equipment Failure,15,INSUFFICIENT,,high,'Rod piston seal failure' is four words naming a part
ac1757c4eeab1fa9,2022,"Human Performance Error: IP failed to control the movement of the TG door frame as stated in the JSA. Management Systems: while manually pushing on the TG Inadequate written job procedures – JSA was titled install and removal of the TG, but JSA only discussed installation. Removal was said to be ins",Human Performance Error,3,Management Systems,8,medium,"the statement's own second clause is decisive: 'JSA was titled install and removal of the TG, but JSA only discussed installation'"
9df725f8d67da3ce,2023,"Human Performance Error: Even though the Job Safety Analysis discusses the use of a safety harness, the CM failed to wear the safety harness when reaching over the handrail or climbing on the gantry to remove the brace. No Supervision: During the duration when the CM and the helper were replacing th",Human Performance Error,3,Human Performance Error,17,low,'the JSA discusses the use of a safety harness' and it was not worn; 20 is arguable since 'platform operators did not monitor'
e5387585a4cbc22c,2023,"• Communication – Inadequate communication between personnel: While lowering the section of piping, crewmembers involved did not communicate properly resulting in an individual being injured. • Supervision – No or inadequate supervision: Lack of supervision was found to be a contributing factor to t",Communication,9,Communication,17,medium,"'While lowering the section of piping, crewmembers involved did not communicate properly' is in-task coordination, not handover, so not 9"
0757e28551f297c8,2023,"Human Error: • The Driller and Assistant Driller did not follow the guidelines and procedures and did not fill out the Elevator Pre-use checklist. Due to the Driller and Assistant Driller not following the guidelines, procedures and not filling out the checklist, the incorrect inserts were used in t",Human Performance Error,3,Human Performance Error,15,medium,'did not fill out the Elevator Pre-use checklist' so 'the incorrect inserts were used'; the failed barrier is a documented pre-use equipment check
18a277e00c9c9579,2024,Human Performance Error- Inadequate knowledge of equipment operation: Engagement of Winch with Handle in Place: The primary cause of the incident was the engagement of the powered winch while the winch assist handle was still inserted and in bypass to allow winch to operate. Failure to Follow Safety,Human Performance Error,3,Human Performance Error,16,high,'a safety device was bypassed allowing winch to operate' is defeat of a safety critical device
9998860fc8b20d53,2024,Equipment failure: Inadequate equipment repair- Possibility of an old field repair to the flowline being subjected to corrosion due to the repair being made in the field instead of in a controlled environment which may have caused the flowline to develop a leak. Equipment failure: Flawed equipment d,Equipment Failure,15,Equipment Failure,15,high,'old field repair ... subjected to corrosion' and 'Suspected flaw in the field weld and testing of the weld' are repair quality and NDT
eb8727d42f251803,2025,Management System: • Inadequate hazard analysis. Control measures for this operation involving the aerial lift man-riding work basket were ineffective or not implemented. The crew failed to recognize the hazards associated with using the aerial lift man-riding work basket as a lifting operation by p,Management Systems,8,Management Systems,6,high,'Inadequate hazard analysis' and 'There was no lift plan in place' in the statement's own words
40b1b3080cef9d78,2025,• Human Performance Error: International Navigational Rule #5 and #8. The captain failed to safely operate the M/V Dry Tortugus. He admitted to falling asleep at the controls while the vessel was on autopilot. • Human Performance Error: Work-hour limitations exceeded. The captain’s excessive workloa,Human Performance Error,3,Human Performance Error,3,high,"'falling asleep at the controls' with 'Work-hour limitations exceeded' is fitness for duty, which element 3 covers as health assurance"
dd14936f9c6b0a5b,2025,1. Equipment Failure - Inadequate preventative maintenance/Inadequate equipment repair- the crane’s aux hoist system was operated with documented mechanical deficiencies including excessive wear and degradation of the aux boom tip sheave and bearing assembly. These conditions were identified during ,Equipment Failure,15,Equipment Failure,15,high,'documented mechanical deficiencies ... identified during prior inspections' and operated anyway; findings not actioned
b891fe74aa1dad12,2026,Managment systems - inadequate hazard analysis Communication - inadequate job instructions provided Human Performance Error - inattention to task. Not aware of hazards.,Communication,9,Management Systems,6,low,"three headings with no description; 'inadequate hazard analysis' leads, but nothing is elaborated"
2ccbdb17b6059a23,2026,Human Performance Error: Not following proper procedures- Danos crew members did not follow their company Work Safe Oath Element-Energy isolation which calls to verify energy isolation before work begins. Human Performance Error: Inexperience doing task related to incident- Danos stated in their inv,Human Performance Error,3,Human Performance Error,17,high,'verify energy isolation before work begins' was not done and 'never verified the energy isolation'; isolation verification is permit to work
