incident,cause,text,xw_element,llm_cause_category,llm_psm_element,llm_confidence,llm_passes_agreed,llm_reason
GC-478-20240502-1620,4,Communication – Job instructions were inadequate because testing safety systems are mentioned after the 5-year load test instead,9,Management Systems,8,high,3,Job instructions were inadequate because testing safety systems are mentioned after the 5-year load test instead
KC-785-20240307-1500,2,Management Systems: Inadequate management of change procedures. The Seadrill Crew deviated from the normal procedures for slip and cut drill line by tying of the drill line to the Cat Head.,8,Management Systems,12,high,3,Inadequate management of change procedures allowed deviation from normal procedures for slip and cut drill line by tying of the drill line to the Cat Head
KC-785-20240307-1500,5,"Communication: Inadequate job instructions provided. The Driller was informed by the Derrickman about that the Seadrill Crew’s decision to lift the 2-inch drill line, but he failed to communicate to the Driller how this operation was going to be performed.",9,Management Systems,17,high,3,"The Derrickman failed to communicate to the Driller how the lift operation was going to be performed, representing inadequate job instructions and task coordination that should have been controlled through work control and permit to work procedures."
VK-817-20070522-0930,1,Human Error: Employee did not follow the safety procedures of the Safety Pre-Job Meeting. Employee was working around a hole that was unprotected without fall protection.,3,Management Systems,17,high,3,"Employee did not follow the safety procedures of the Safety Pre-Job Meeting and was working around an unprotected hole without fall protection, indicating a work control and permit-to-work system failure to ensure prescribed controls were executed."
MC-683-20071023-0320,1,Human Error: Inattention to job being preformed. The floor hand have insured that area was clear before the spider,3,Work Environment,17,high,3,"Floor hand failed to ensure area was clear before operation, indicating inadequate execution of work control and task risk management procedures for the spider operation."
ST-23-20240708-1908,1,Human Performance Error – DR1 and FH1 were not paying attention to the task of POOH with drill pipe to check the COM and rack back the stand.,3,Human Performance Error,17,high,3,Workers failed to execute an existing control—paying attention to the task of checking COM and racking back the stand—which is a work control execution failure rather than a hazard identification or procedure design issue.
ST-23-20240708-1908,2,Management system – Inadequate hazard analysis of the traveling block contacting the crown block.,8,Management Systems,6,high,3,Inadequate hazard analysis of the traveling block contacting the crown block indicates a failure in hazard identification and risk assessment
ST-23-20240708-1908,4,Communication – Inadequate job instructions were provided for POOH with drill pipe and checking the COM.,9,Management Systems,8,high,3,"Inadequate job instructions were provided for POOH with drill pipe and checking the COM, indicating deficient operating manuals and procedures."
MC-727-20080306-1130,1,"Human Error: Equipment on deck of the boat was not secured properly. Injured Person was not in a safe place where he could move out of the way if equipment shifted. Equipment on boats, that is capable of movement should always be secured. Personnel should be aware of all hazards present and situations where an incident could occur. These should have been addressed in work.",3,Management Systems,17,high,3,Equipment securing and personnel positioning are work controls that should have been established and executed; the statement indicates these controls 'should have been addressed in work' but were not properly implemented.
MP-175-20080422-1430,1,"Human Error: (a) A main fuel line union, located inside the burner behind the eclipse burner tip, was not properly tightened. This allowed the gas to escape and ignite, thus creating excessive heat inside the fire chamber. (b) Internal heat from the fire tube burned the low-temperature paint on the outside of the Glycol Reboiler that ignited",3,Human Performance Error,17,high,3,"A main fuel line union was not properly tightened, indicating a work control execution failure during assembly or maintenance of a safety-critical connection."
MC-778-20080522-0415,1,Human Error: Lack of communication between the drill floor,3,Communication,17,high,3,"Lack of communication between the drill floor indicates a failure in work control and in-task coordination during operations, where information necessary for safe execution was not effectively shared among personnel."
VK-900-20080523-0200,1,Human Error: The high pressure water pump utilized for well operations was connected to the quarter's fresh water supply system,3,Management Systems,10,high,3,"The high pressure water pump was connected to the wrong system (fresh water supply instead of the intended system), indicating a failure in management of operational interfaces where different systems should have been segregated or clearly identified to prevent cross-connection."
GI-41-20080605-1015,1,Human Error: The operator conducted a personnel basket crew change in unfavorable weather conditions. Both the sea state and winds were operation.,3,Management Systems,17,high,3,The operator conducted a personnel basket crew change in unfavorable weather conditions when work controls should have prevented this task execution under such conditions.
MC-809-20080606-1000,1,Human Error: Failure to don proper PPE required for the operation. the IP did not use them.,3,Supervision,17,high,3,"The IP failed to execute an existing control (donning required PPE) during the operation, which is a work control execution failure requiring task supervision and permit-to-work oversight."
SP-60-20080906-0400,3,Human Error: The gas detector shut down function was by-passed.,3,Management Systems,16,high,3,"The gas detector shut down function was by-passed, indicating a failure in management of safety critical devices to prevent unauthorized disabling of critical safety equipment."
MC-941-20080927-2130,2,Equipment Failure: The master dump valve's manual operator/position indicator was incorrect for this valve and did not allow the full opening and closing of the valve.,15,Equipment Failure,16,high,3,"The master dump valve's manual operator/position indicator was incorrect for this valve, indicating a failure in management of safety critical devices to ensure proper specification and installation of critical equipment components."
EW-305-20081102-1105,2,Human Error: Open hole was left unattended without a barricade.,3,Work Environment,17,high,3,Open hole left unattended without barricade represents a failure to implement required work controls and physical safeguards to isolate hazards during task execution.
MP-107-20090301-1200,1,Human Error: Rig personnel used an unstable hydraulic tong as wrench while breaking tubing.,3,Human Performance Error,17,high,3,"Personnel used an unstable hydraulic tong as wrench, indicating a work control failure where the task risk and proper tool selection were not managed or enforced."
MC-520-20090513-1936,1,Human Error: The driller was not paying attention to the position drill string above normal trip height.,3,Supervision,9,high,3,The driller's failure to monitor drill string position against established parameters reflects inadequate operational status monitoring and real-time oversight of process conditions.
UNKEYED-02d6ec4cdad0,1,"Human Error: The Driller failed to place the diverter panel in the ""Test"" mode before performing the diverter test.",3,Human Performance Error,17,high,3,The driller failed to execute an existing control procedure—placing the diverter panel in 'Test' mode before performing the test—which is a work control execution failure.
GC-432-20241110-0145,1,Human error performance – The IP has less than one year experience offshore. The IP was unaware of the hazard that wave action presented that night. The IP followed neither the direction of his supervisor nor procedure by entering a secure area.,3,Management Systems,6,high,3,"The IP was unaware of the hazard that wave action presented that night, indicating a failure in hazard identification and risk assessment for the specific conditions and personnel involved."
HI-5-20240711-0730,1,Human Performance Error- Inadequate knowledge of equipment operation: Engagement of Winch with Handle in Place: The primary cause of the incident was the engagement of the powered winch while the winch assist handle was still inserted and in bypass to allow winch to operate.,3,Human Performance Error,8,high,3,"The operator engaged the winch while the handle was still inserted, indicating inadequate knowledge of the correct operating procedure; this reflects a deficiency in operating manuals and procedures that should have clearly specified the prerequisite condition of handle removal before engagement."
SS-189-20240313-2010,1,Human Performance error – failure to identify degraded wire rope on stinger.,3,Human Performance Error,6,high,3,"Failure to identify degraded wire rope indicates a hazard that was not recognized during inspection or assessment, which is a hazard identification and risk assessment function."
SS-189-20240313-2010,3,"Management systems – the Preventive Maintenance Daily checklist, Permit to Work, and JSA all failed to specifically list inspecting the stinger.",8,Management Systems,15,high,3,"Management systems for Preventive Maintenance Daily checklist failed to specifically list inspecting the stinger, indicating inadequate inspection and maintenance procedures."
WR-29-20240216-1335,1,Human performance error – failure to identify the hazard of the impact zone getting smaller as the job continued. IP turning his back to a suspended load.,3,Management Systems,6,high,3,Failure to identify the hazard of the impact zone getting smaller as the job continued represents a hazard identification and risk assessment failure
WR-29-20240216-1335,2,Communication – IP failed to listen to riggers when told to move out of the pinch point. SWA was not used.,9,Work Environment,17,high,3,"IP failed to listen to riggers' warning to move out of the pinch point, indicating a breakdown in work control and task coordination where a critical safety instruction was not executed or acknowledged."
WR-29-20240216-1335,3,Human performance error - Not following the hazards and mitigations of the JSA utilized. IP not maintaining situational from the riggers. IP was supervising the casing tally.,3,Supervision,17,high,3,IP not maintaining situational awareness from riggers and not following hazards and mitigations of the JSA indicates failure to execute work control and task risk management during supervision of the casing tally operation.
GC-478-20240118-1303,1,Human Performance Error – Did not verify the makeup turn was not adequate. Did not visually inspect connection to ensure it wasn't cross threaded.,3,Human Performance Error,17,high,3,The worker failed to execute required verification and inspection steps that should have been part of the work control procedure: 'Did not verify the makeup turn was not adequate. Did not visually inspect connection to ensure it wasn't cross threaded.'
GC-478-20240118-1303,2,Communication – The JSA and running procedure did not indicate when to install the anti-rotation keys.,9,Management Systems,8,high,3,"The JSA and running procedure did not indicate when to install the anti-rotation keys, representing inadequate operating manuals and procedures that failed to specify critical task sequencing."
MC-778-20230218-2127,1,Human error: The Driller was not following the Work Instructions for Tripping Operations Pull Out of Hole (POOH) No. WI-TH-DR-OPS-096 and inadvertently opened the pipe elevators before the PRS was attached to the 4-1/2 inch drill pipe.,3,Management Systems,17,high,3,The driller 'was not following the Work Instructions for Tripping Operations' which represents a failure to execute an existing work control; the procedure existed but was not followed during task execution.
LA-6912-20230618-1835,2,Management system – Inadequate management of change procedure.,8,Management Systems,12,high,3,"Statement explicitly identifies 'Inadequate management of change procedure' as the cause, directly corresponding to element 12 Management of change and project management."
SS-224-20240720-2200,2,Human error performance – IP used his hands to guide the load instead of using push poles.,3,Human Performance Error,17,high,3,"IP used his hands to guide the load instead of using push poles, indicating a work control failure where the established safe procedure (using push poles) was not executed as required."
SS-224-20240720-2200,3,Human error performance - IP was not aware of the pinch between the crane’s cable and sheave.,3,Management Systems,6,high,3,"The IP was not aware of the pinch point hazard between the crane's cable and sheave, indicating a failure in hazard identification and risk assessment to recognize this specific hazard."
SS-224-20240720-2200,4,Communication – The JSA’s were inadequate because they did not identify the hazard of blind lifts or the pinch point between the crane’s cable and sheave.,9,Management Systems,6,high,3,JSAs did not identify the hazard of blind lifts or the pinch point between the crane's cable and sheave
GC-389-20240422-0815,2,Communication – There was inadequate communication between the helper and the IP about the hazard of lifting the tools too high and the pinch point between the C-plates.,9,Communication,17,high,3,"Inadequate communication between helper and IP about task-specific hazards (lifting tools too high, pinch point risk) represents a failure in in-task coordination and work control execution rather than external stakeholder communication."
WR-51-20240328-2200,1,Communication – Instructions not understood - The roustabout on the lifting team did not communicate the open hole to all members of the Subsea BOP team after removing the damaged hatch cover.,9,Communication,17,high,3,"The roustabout failed to communicate the open hole to all team members, which is a work control and task coordination failure during an active lifting operation where hazard awareness among all participants is critical."
WR-51-20240328-2200,2,Human Performance Error - Failure to implement corrective actions for missing hatch cover.,3,Management Systems,17,high,3,Failure to implement corrective actions represents a breakdown in work control and task risk management where an identified hazard (missing hatch cover) was not addressed through proper execution of required controls.
WR-51-20240328-2200,3,Equipment Failure – Flawed Equipment Design - Poor design of the hinge connecting the hatch cover to the work platform. The hinge separated from the hatch cover causing the hatch cover to become a possible dropped object.,15,Equipment Failure,12,high,3,Poor design of the hinge connecting the hatch cover to the work platform represents a design flaw that should have been identified and corrected during management of change and project management before equipment was put into service.
WR-51-20240328-2200,4,Human Performance Error - Failure to put barriers in place prior to removal of hatch cover.,3,Human Performance Error,17,high,3,Failure to put barriers in place prior to removal of hatch cover represents a work control that existed but was not executed during the task.
WR-51-20240328-2200,5,Work Environment – PPE - Failure to tie off fall protection.,6,Work Environment,17,high,3,Failure to tie off fall protection is a work control execution failure; the control existed but was not performed during task execution.
WR-51-20240328-2200,6,Management Systems – No Hazards analysis - The IP failed to conduct a proper hazard assessment to identify the open hole prior to conducting BOP maintenance.,8,Management Systems,6,high,3,The IP failed to conduct a proper hazard assessment to identify the open hole prior to conducting BOP maintenance
GC-468-20230531-0900,1,Human Performance Error: Inadequate Knowledge of Equipment Operation: the safety catch within the I’D was bypassed when the excess rope was laid to the front of the device as opposed to below or behind it and it was not ran through a directional carabiner per manufacturer recommendations.,3,Human Performance Error,8,high,3,"Rope was not 'ran through a directional carabiner per manufacturer recommendations', indicating the operating manual and procedures for correct equipment operation were not followed or inadequately communicated."
GC-52-20240531-0100,1,Human error performance – Failed to identify the hazard of leaving the stinger on the big block when not in use.,3,Management Systems,6,high,3,Failed to identify the hazard of leaving the stinger on the big block when not in use
GC-52-20240531-0100,3,Communication – Stop Work Authority (SWA) was not used when the boom was lowered without lowering the big block at the same time. SWA was not used after the damaged boom was identified.,9,Management Systems,17,high,3,"Stop Work Authority (SWA) was not used when the boom was lowered without lowering the big block at the same time, and SWA was not used after the damaged boom was identified—a work control that existed but was not executed."
GC-52-20240531-0100,4,Management systems – The JSA was inadequate. It did not hanging up on boom.,8,Management Systems,17,high,3,"The JSA (Job Safety Analysis) was inadequate and did not address the hazard of 'hanging up on boom', representing a failure in work control and task risk management to identify and control the specific hazard."
AC-735-20231208-0845,1,"Communication – Inadequate communication between IP and Driller, Driller was not aware of the IP’s position on the port pipe racker upper access platform. IP failed to notify the drill floor that they were moving from the port carousel access platform (IP’s expected location) back to the port pipe racker upper access platform and into the line of fire",9,Communication,17,high,3,"IP failed to notify the drill floor of position change, which is in-task coordination and work control rather than external stakeholder communication; the missing control was real-time notification of personnel movement in a hazardous area."
AC-735-20231208-0845,2,"Management systems – Inadequate hazard analysis and engineering control. The TDS has a 3-inch clearance between TDS and the handrail of the port pipe racker upper access platform. An engineered barrier preventing access to the port pipe racker upper access platform during operations or until safe clearance is granted would have prevented the injury from occurring. Also, this hazard was not identified on the JSA used by the IP for drifting the drill pipe.",8,Management Systems,6,high,3,"The hazard of inadequate clearance between TDS and handrail was not identified on the JSA, and an engineered barrier control was never implemented, indicating failure in hazard identification and risk assessment."
AC-735-20231208-0845,3,"Communication – There was no posted or visible warning, caution or moving equipment advisories on the port pipe racker upper access platform identifying the moving equipment hazard. This may have given the IP a false sense of safety while on the port pipe racker upper access platform.",9,Management Systems,6,high,3,"The hazard of moving equipment on the port pipe racker upper access platform was never identified with appropriate warning signage, representing a failure in hazard identification and risk assessment."
AC-25-20260224-1715,2,Management Systems - Inadequate hazard analysis of the hardware.,8,Management Systems,6,high,3,Inadequate hazard analysis of the hardware indicates failure in hazard identification and risk assessment
BM-3-20250805-0740,2,Equipment Failure - Flawed equipment design or construction: The ATB’s design allows for wire rope to snag and foul on the striker plate.,15,Equipment Failure,6,high,3,The flawed design allowing wire rope to snag on the striker plate represents a hazard that should have been identified during design review and risk assessment before equipment deployment.
BM-3-20250805-0740,3,Communication - Inadequate Coordination Between Operator & Maintenance Contractor: The investigation identified inconsistencies in communication and documentation between Cantium and third-party maintenance providers regarding the status of repairs to the aux sheave assembly. The absence of documented repair tracking or confirmation may have contributed to the unresolved condition and future incidents if not corrected.,9,Management Systems,18,high,3,"Inadequate coordination and documentation between operator and third-party maintenance contractor reflects failure in contractor management, specifically the absence of documented repair tracking and confirmation procedures that should govern contractor work."
BM-3-20250805-0740,4,"Supervision - No or inadequate supervision: Inspection findings identified multiple areas of degradation within the crane system, including the aux sheave, bearings, and other components. The continued operation of the crane under these conditions indicates insufficient oversight and prioritization of maintenance activities. The Cantium HESC signing the Deficiency Summary on April 15, 2025, indicates he was made aware that crane components were out of compliance with both manufacturer recommendations but also in contradiction with Cantium’s Crane Policy and prescribed service limitations of vital crane components.",17,Management Systems,15,high,3,Inspection findings identified degradation in crane components; continued operation despite known deficiencies indicates failure of inspection and maintenance management to enforce compliance with manufacturer recommendations and company crane policy.
BM-3-20250805-0740,5,Management Systems - Inadequate emergency procedures: Review of the timeline of events regarding the evacuation of the IP reveals miscommunication and a lack of emergency response preparedness. There were several examples exhibited within the timeline of the evacuation that strongly suggest the IP’s evacuation was delayed due to failure to plan for these events prior to the incident. BSEE recommends Cantium review their emergency plans and procedures event of future evacuations.,8,Management Systems,14,high,3,Failure to plan for evacuation events and inadequate emergency procedures directly indicate deficient emergency preparedness systems that should have been in place prior to the incident.
MP-42-20221108-0645,1,Human Performance Error: Improper hand placement - IP’s hand from a more severe The IP did not avoid a pinch point when he placed his left hand on the transporter the platform crane.,3,Management Systems,6,high,3,"The pinch point hazard at the transporter platform crane was not identified or controlled, as the IP was not made aware of or protected from this known hazard during the task."
EC-71-20230525-0115,1,"Human Performance Error: The wellhead casing valve was not fully closed during the zinc bromide pumping operation, which allowed approximately 79 barrels to flow from the 1 13/16-inch outlet into the environment.",3,Human Performance Error,17,high,3,"The valve was not fully closed during the pumping operation, indicating a work control failure where an existing control (closing the valve) was not executed as required."
EI-158-20230921-0100,1,Human Performance Error – Improper body placement: The IP sat on an unsecured wellhead that rolled onto his left leg causing the injury.,3,Management Systems,6,high,3,"The hazard of an unsecured wellhead that could roll was never identified and controlled, representing a failure in hazard identification and risk assessment."
EI-158-20230921-0100,2,Equipment Failure - Improper storage of equipment: The wellhead was laid on the deck in an unstable and unsecured position.,15,Management Systems,17,high,3,"Wellhead was laid in unstable and unsecured position, indicating absence of work control procedures for proper equipment handling and securing during storage operations."
EI-158-20230921-0100,4,"Management System – Inadequate hazard analysis/ written job procedures: Personnel failed to identify job steps, identify hazards, and mitigate hazards on a JSA for the wellhead removal.",8,Management Systems,6,high,3,"Personnel failed to identify job steps, identify hazards, and mitigate hazards on a JSA, indicating that hazard identification and risk assessment was not adequately performed for the wellhead removal task."
EI-259-20231013-1745,1,"Human Performance Error: Even though the Job Safety Analysis discusses the use of a safety harness, the CM failed to wear the safety harness when reaching over the handrail or climbing on the gantry to remove the brace.",3,Human Performance Error,17,high,3,"The Job Safety Analysis identified the hazard and specified the control (safety harness requirement), but the worker failed to execute this established work control during the task."
EI-259-20231013-1745,3,"Management Systems: Inadequate hazard analysis - Also, the CM failed to conduct a stop work authority and readdress the Job Safety Analysis when the decision was made to remove the brace.",8,Management Systems,12,high,3,"The CM failed to conduct a stop work authority and readdress the Job Safety Analysis when the decision was made to remove the brace, indicating inadequate management of change procedures."
EI-307-20250317-2140,1,Communication: Inadequate job instructions provided. The floor hand acting as the banksman in the elevated hydraulic jack basket and the crane operator had insufficient communications during pipe lifting operations.,9,Communication,17,high,3,"Insufficient communications between banksman and crane operator during pipe lifting operations represents a failure in work control and in-task coordination, not external stakeholder communication."
EI-307-20250317-2140,2,Management Systems: Inadequate job procedures. The procedure for pulling out of the hole with work string was not followed since there was limited hand communication and no radio communication between the floor hand and crane operator.,8,Management Systems,17,high,3,"The procedure existed but was not followed due to inadequate communication between floor hand and crane operator during execution of the work task, which is a work control and task coordination failure."
EI-307-20250317-2140,3,Management Systems: Inadequate hazards analysis. The deck area where the 3.5-inch pipe was been laid down was very small and not clearly defined in the hazard analysis. There were no barriers in place to define a safe zone or identify potential hazard locations.,8,Management Systems,6,high,3,"The deck area was 'not clearly defined in the hazard analysis' and hazards were not identified, indicating a failure in hazard identification and risk assessment."
GB-215-20250717-0752,1,Human Performance Error: Not aware of hazards. There were no safety restraints or whip checks installed on the high-pressure hose as recommended in Oil States Standard Operation Procedure for Flow Iron and Restraint Installation.,3,Management Systems,6,high,3,"The hazard of high-pressure hose failure without restraints was never identified in the operator's own risk assessment, despite being documented in Oil States Standard Operation Procedure."
MC-773-20250716-1810,1,"Equipment failure: Flawed equipment design or construction- The TLQ was designed and constructed to be used as temporary housing for overflow workers. The TLQ remained on site for twenty-three years after original installation, which it was not originally intended for.",15,Management Systems,12,high,3,"Equipment designed for temporary use remained on site for twenty-three years without management of change to address its extended, unintended service life."
