Incident Number,Cause number,Cause Description,Cause type,Risk Management Cause,Human Factors  Cause, Failed PSM Framework Element
CP-BF2EE5947A,1,"Equipment Failure - Capacity of equipment exceeded: Fieldwood Energy identified a 3/8"" hole in the line approximately a quarter-mile from the platform near a weld in the line.",Immediate,Inadequate Control Measures,,15
CP-BF2EE5947A,2,Human error – Incorrect PSH set point: The improper PSH set point has been identified as a possible contributing cause to the incident because an overpressure event may have gone undetected and caused a hole in the pipeline.,Underlying,,,3
CP-D5270111A8,1,Equipment Failure - Inadequate/Improper tools or equipment used: The failure to provide a safer method to remove the bolts prior to starting the task. There are tools designed to attach to the stud and nut that secures the eliminates the need for a second person holding it.,Immediate,Inadequate Control Measures,,15
CP-D5270111A8,2,None,Underlying,,,
CP-D5270111A8,3,Equipment Failure - Inadequate/Improper tools or equipment used: The failure to provide a safer method to remove the bolts prior to starting the task. There are tools designed to attach to the stud and nut that secures the eliminates the need for a second person holding it.,Root,Inadequate Control Measures,,15
CP-9E1D15576D,1,A faulty check valve allowed oil to enter the sump,Immediate,,,
CP-9E1D15576D,2,The sump caisson was not designed properly because caisson center well. it violates CFR 250 300(b)(4) which states that the sump system must automatically maintain oil at a level sufficient to prevent discharge of oil into offshore waters.,Underlying,,,
CP-4B15C3DC3B,1,"Even though a verbal risk assessment prompt card was utilized, the operational task was not performed safely. If the Subsea Engineer would have utilized the tagline to guide the load and not excessively pull on the avoided.",Immediate,,,
CP-3B79FD9E11,1,The positioning of the lifting eyes.,Immediate,,,
CP-3B79FD9E11,2,"The air tuggers were not at full power due low and with no other incidents. air pressure. Compressed air volume was inadequate to support usage. Also, an air tugger cable parted due to shock loading. Low air pressure reduced holding capacity and brakes were not holding.",Underlying,,,
CP-3B79FD9E11,3,The positioning of the lifting eyes.,Root,,,
CP-E8CD75BF8D,1,Weather Related: Oil and water on the deck of the crane mount due,Immediate,,,
CP-E8CD75BF8D,2,Slip Hazard: Employee was not aware of slip hazard.,Underlying,Hazard not Identified,,
CP-FC86518082,1,"Equipment Failure – Flawed Equipment Design or Construction: The installation of rechargeable batteries inside a non-vented panel creates a Class 1 Division 1 location inside of the panel according to API RP 500. However, the components inside the panel were not rated for a Class 1 Division 1 area. Even if the panel was vented, Talos installed the panel in a Class 1 Division 2 area. However, the components inside were not rated for a Class 1 Division 2 area.",Immediate,Inadequate Control Measures,,15
CP-FC86518082,2,Personnel Training - Personnel Poorly Trained: Personnel failed to recognize that rechargeable batteries vent hydrogen.,Underlying,Inadequate Control Measures,,
CP-02C26650DB,1,Overheating triggered the high temperature alarm resulting in a fire/damage to the air compressor,Immediate,,,3
CP-6027395E36,1,Management Systems: The JSA and the Nabors procedure “OPS-WIN-019” did not contain specific instructions on how to slow the block speed; and to set the overpull to accommodate the weight of the block and single casing joint.,Immediate,,,8
CP-6027395E36,2,"The crane was not used to control the free lower end of the joint of casing through the V-door, which would have helped change the positioning of the casing while picking it up into the derrick.",Underlying,,,
CP-E25A5F1EF9,1,The Ensco Incident Investigation Report stated that the probable cause of the finger injury was attributed to a casing joint slipping down the cat walk because it was not supported by the back stop.,Immediate,,,
CP-E25A5F1EF9,2,"According to the Ensco Incident Investigation Report, the following were listed as contributing causes to the injury: 1) a worker was not assigned to verify that all casing joints were supported by the cat walk back stop; 2) workers did not recognize that a casing joint was not supported by the cat walk back stop; 3) the hazard analysis did not address potential pinch points created by slipping casing joints and",Underlying,,,
CP-E25A5F1EF9,3,inadequate spacing of casing joints in the v-door.,Root,,,
CP-C3BE94F691,1,The BSEE incident investigation team determined that spill was attributed to the failure of the upper VBR assembly.,Immediate,,,
CP-8EF558598C,1,Gasket failure in the 4 inch butterfly valve.,Immediate,,,
CP-A54C179A20,1,The investigation concluded that the most likely discharge and resulting flash fire of the diesel,Immediate,,,
CP-68FE7B4E5E,1,The cause of the incident was due to leaking packing seal on the air operated valve which caused the valve to open. There was no preventive maintenance schedule on the diverter valve.,Immediate,,,
CP-68FE7B4E5E,2,There was no alert system to monitor the valve when not in use.,Underlying,,,
CP-B2A240DFA2,1,The USCG is conducting an investigation to determine a result of the incident. the cause of the event.,Immediate,,,
CP-B2A240DFA2,2,N/A,Underlying,,,
CP-5791A4827D,1,"Due to a hydraulic valve internal leak, insufficient hydraulic fluid pressure resulted in the boom winch not being properly engaged.",Immediate,,,
CP-6A3B6A17BD,1,Lack of Focus: The primary cause of the incident The AD took his attention off the job while work was attention caused him to break from normal procedure. swinging freely and it crushed the IP's hand between roughneck.,Immediate,,,
CP-6FBA9BECDE,1,Personnel not properly isolating the energy source {gas pipeline) allowed gas to . migrate from the gas sales pipeline back through the production train and escape through openended piping at the coalescer.,Immediate,,,
CP-6FBA9BECDE,2,"Personnel complained of being pushed to finish the job, which allowed for hasty decisions to be made. Multiple jobs being performed at the same time and the absence of an on site supervisor dedicated to oversee the safety aspect of each job being performed pevented personnel from focussing on specific job details. The failure to develop a detailed written procedure {JSA) for the work to be performed prevented personnel from identifying and properly isolating the energy source. The lack of communication between the production personnel and the failure to utilize the companies stop work authority policy allowed critical warning signs leading up to the incident to be overlooked. Personnel were working with insufficient lighting at the time of the incident and the 16"" pipeline check valve not performing it's designed function also contributed to the incident.",Underlying,,,
CP-98B7510218,1,Inattention to task-The mechanic missed the step,Immediate,,,
CP-98B7510218,2,"When the mechanic missed the step, the weight of severity of his injuries.",Underlying,,,
CP-96EAF2138B,1,The gumbo box drain valve inadvertently left in overboard discharge.,Immediate,,,
CP-96EAF2138B,2,the open position resulted in the,Underlying,,,
CP-B092285F66,1,"The bottom clean-out valve on the gas buster was in the open position while trying to establish fluid returns from well A-1. A significant amount of gas was allowed to vent from beneath the gas buster and in close proximity where personnel were working, thus creating a hazardous atmosphere. Furthermore, the wind direction across the deck of the lift boat caused the migration of gas vapors to the diesel engine associated with the pump unit. Gas vapors entered the engine through the air intake breather resulting in the backfire and subsequent flash fire.",Immediate,,,
CP-B092285F66,2,"Human error by all parties involved resulting from failure to: Perform a thorough JSA and identify all potential hazards, including vented gas causing a hazardous atmosphere and potential ignition sources.",Underlying,,,
CP-AF65344437,1,The manifold choke was left open.,Immediate,,,
CP-3AED37EBF4,1,"The 9.625 inch CIBP was forced up the hole without allowing gas to vent. Well pressure acted on the surface area of the 9.625 inch CIBP instead of the 3.5 inch drill pipe as expected, and overcame applied weight on bit from the rig.",Immediate,,,
CP-046ACB062E,1,"Equipment Failure (Inoperable Equipment): The inoperable Ram on the QCDC did not allow for the buoy to drop, resulting in a failed disconnect of production.",Immediate,,,3
CP-046ACB062E,2,"Work Environment (Other weather influences): The abrupt change to extreme winds contributing to the sudden shift of the vessel and the need to disconnect. Talos was aware of weather passing north, but was not aware of the severity.",Underlying,,,
CP-3D7A1B48AC,1," Management Systems: Inadequate documentation or availability of hazard analyses, job procedures, or emergency procedures: Utilizing the referenced hose (to achieve zero pressure) was not part of the approved operating procedure. The approved operating procedure states, “zero psi is not required. Blowdown to a point where at least 500 psi differential is across the boarding valve and monitor for pressure build-up”.  Human Performance Error: Inexperience doing task related to incident - BSEE also found that the probable cause of the injury was allowing the inexperienced IP to assist in the testing of the BSDV regarding the referenced operation(s).",Immediate,,,
CP-3D7A1B48AC,2," According to the Shell Auger OP - BV Check for the Cardamom Field, there is no mention of using a hose throughout the testing procedure. All piping mentioned throughout the bleed down and testing procedure is hard",Underlying,,,
CP-6E609FE29C,1,The safety pin was not in the valve stem.,Immediate,,,
CP-99AE614DE1,1,Human Error: Rig personnel used an unstable hydraulic tong as wrench while breaking tubing.,Immediate,,,3
CP-9534B48819,1,Human Error: Inattention to job being performed.,Immediate,, Competency -  Lapse of Competency,3
CP-D330F37F05,1,"Failure to follow the Task Based Risk Assessment, a 1-3/8"" clamp was not used as specified. Failure to follow manufacturer's wire change procedure.",Immediate,,,
CP-D330F37F05,2,"1-3/8"" clamp was unavaialble as the procedure specified.",Underlying,,,
CP-F5097143EF,1,Failure to maintain equipment: Excessive sand and debris in the process system,Immediate,,,
CP-F5097143EF,2,Failure to maintain equipment: Excessive condensate in the instrument gas system,Underlying,,,
CP-F5097143EF,3,Failure to write operating procedures to mitigate design flaws in the instrument gas system,Root,,,
