Incident Number,Recommendation Number,Recommendation Description,Unmittigated Risk - Score,Unmittigated Risk - Consequence,Unmittigated Risk - Likelihood,Mittigated Risk - Score,Mittigated Risk - Consequence,Mittigated Risk - Likelihood,Agreed Completion Date,Responsible Owner - Name,Responsible Owner - Position
CP-BF2EE5947A,1,Add a corrosion-monitoring checkpoint that requires inspection of internal weld seams each time the fire tube comes out for service.,,,,,,,2021-03-21,SYN-991d23,Marine Coordinator
CP-D5270111A8,1,Retrain riggers on proper hook inspection and load chart limitations and document completion.,,,,,,,2021-04-29,,
CP-9E1D15576D,1,Retrain riggers on proper hook inspection and load chart limitations and document completion.,,,,,,,2021-04-04,,
CP-4B15C3DC3B,1,Require a documented stop work authority briefing at the start of every shift changeover.,,,,,,,2021-06-15,SYN-aeef31,Maintenance Supervisor
CP-3B79FD9E11,1,Require arc-rated clothing for personnel working inside the switch gear room.,,,,,,,2021-07-12,,
CP-E8CD75BF8D,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2021-07-08,SYN-b3e0e1,Marine Coordinator
CP-FC86518082,1,Require chemical-splash goggles for personnel handling glycol during startup operations.,,,,,,,2021-07-14,,
CP-FC86518082,2,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2021-08-07,SYN-e76a91,Production Foreman
CP-02C26650DB,1,Establish a training program for glycol handling personnel that covers how hazards change as the material shifts from its liquid state to its vapor state.,,,,,,,2021-07-27,,
CP-6027395E36,1,Establish a training program for glycol handling personnel that covers how hazards change as the material shifts from its liquid state to its vapor state.,,,,,,,2021-08-17,,
CP-E25A5F1EF9,1,Revise the job safety analysis template to require a documented review of hazard controls before work begins.,,,,,,,2021-10-02,,
CP-C3BE94F691,1,Require a second qualified person to independently verify that lifting slings are rated for the calculated load before each pick.,,,,,,,2021-09-10,SYN-3fdd3f,Operations Superintendent
CP-8EF558598C,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2021-10-31,SYN-126941,Facility Engineer
CP-A54C179A20,1,Require a documented stop work authority briefing at the start of every shift changeover.,,,,,,,2021-11-01,SYN-be81d0,Marine Coordinator
CP-68FE7B4E5E,1,Retrain riggers on proper hook inspection and load chart limitations and document completion.,,,,,,,2021-12-19,SYN-f1bf02,Facility Engineer
CP-B2A240DFA2,1,Require steel-toed boots rated for wet deck conditions during all fluid transfer work.,,,,,,,2022-01-03,SYN-5db635,Facility Engineer
CP-5791A4827D,1,Require insulated gloves for personnel adjusting the compressor discharge cooler piping during operation.,,,,,,,2022-01-16,SYN-4860b2,Production Foreman
CP-5791A4827D,2,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2021-12-14,,
CP-6A3B6A17BD,1,"Put a written open hole work procedure in place, and make sure platform crews know where to find it before starting that task.",,,,,,,2022-02-20,SYN-119793,Production Foreman
CP-6FBA9BECDE,1,Require fall-protection harnesses with full tie-off for all scaffold work above the deck.,,,,,,,2022-01-25,,
CP-98B7510218,1,Establish a training program for glycol handling personnel that covers how hazards change as the material shifts from its liquid state to its vapor state.,,,,,,,2022-03-05,SYN-599989,Marine Coordinator
CP-98B7510218,2,Update the pre-job checklist to require confirmation of valve alignment before the fluid transfer sequence starts.,,,,,,,2022-02-14,,
CP-96EAF2138B,1,Add a maintenance program requirement that specifies inspection frequency for control panel enclosures.,,,,,,,2022-03-24,SYN-424c3f,Maintenance Supervisor
CP-B092285F66,1,Require a second qualified person to independently verify that lifting slings are rated for the calculated load before each pick.,,,,,,,2022-03-26,,
CP-AF65344437,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2022-04-27,,
CP-3AED37EBF4,1,Require hearing protection for personnel working near running cooling fans on control panel enclosures.,,,,,,,2022-04-29,SYN-58c514,Marine Coordinator
CP-046ACB062E,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2022-04-21,,
CP-3D7A1B48AC,1,Require a documented hazard and operability review before commissioning any change to the ballast or bilge system.,,,,,,,2022-05-21,,
CP-6E609FE29C,1,Shield the reboiler exhaust stack with thermal insulation so its surface temperature can no longer ignite glycol vapor released nearby.,,,,,,,2022-05-30,,
CP-99AE614DE1,1,Add a maintenance program requirement that specifies inspection frequency for control panel enclosures.,,,,,,,2022-06-28,SYN-7df336,Marine Coordinator
CP-9534B48819,1,Add a maintenance program requirement that specifies inspection frequency for control panel enclosures.,,,,,,,2022-06-22,SYN-199f60,Operations Superintendent
CP-D330F37F05,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2022-06-23,SYN-0156d4,HSE Advisor
CP-F5097143EF,1,Update the pre-job checklist to require confirmation of valve alignment before the fluid transfer sequence starts.,,,,,,,2022-08-22,SYN-27416d,HSE Advisor
CP-57D88C9DD8,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2022-07-24,SYN-6df2f5,Facility Engineer
CP-9D63C7E5D6,1,Establish a training program for glycol handling personnel that covers how hazards change as the material shifts from its liquid state to its vapor state.,,,,,,,2022-07-15,,
CP-AF101CEEE5,1,"Put a written open hole work procedure in place, and make sure platform crews know where to find it before starting that task.",,,,,,,2022-08-19,SYN-5082ee,Maintenance Supervisor
