Incident Number,Recommendation Number,Recommendation Description,Unmittigated Risk - Score,Unmittigated Risk - Consequence,Unmittigated Risk - Likelihood,Mittigated Risk - Score,Mittigated Risk - Consequence,Mittigated Risk - Likelihood,Agreed Completion Date,Responsible Owner - Name,Responsible Owner - Position
MR-972CB4703F,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2021-03-11,SYN-80e197,Maintenance Supervisor
MR-C22ED726E5,1,Update the pre-job checklist to require confirmation of valve alignment before the fluid transfer sequence starts.,,,,,,,2021-06-02,SYN-1c92f5,Marine Coordinator
MR-BEFD60BE63,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2021-06-13,SYN-fb6e0b,Marine Coordinator
MR-FB054BF312,1,Require a documented stop work authority briefing at the start of every shift changeover.,,,,,,,2021-07-27,,
MR-2792493DB3,1,Add a mechanical stop that halts the traveling block before it can strike the crown block.,,,,,,,2021-07-19,SYN-16e2cd,Maintenance Supervisor
MR-2792493DB3,2,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2021-07-15,SYN-4ec01b,Facility Engineer
MR-93C6B01EFA,1,"Fit the drawworks with an independent anti-collision system that halts hoisting before the traveling assembly reaches the crown block, separate from the primary control system.",,,,,,,2021-08-26,SYN-149cbb,Production Foreman
MR-70547D084A,1,"Upgrade the chain-handling hardware to a wider-jaw style that increases contact area and reduces slippage under load, removing the need for a hand in the pinch zone.",,,,,,,2021-07-28,SYN-1492a0,HSE Advisor
MR-9EFAB2509E,1,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2021-08-13,SYN-1cc0c9,Facility Engineer
MR-6B21CAC6FE,1,Shield the reboiler exhaust stack with thermal insulation so its surface temperature can no longer ignite glycol vapor released nearby.,,,,,,,2021-10-09,SYN-cebad4,Production Foreman
MR-FD092D519A,1,Require hearing protection for personnel working near running cooling fans on control panel enclosures.,,,,,,,2021-10-23,SYN-34fcbe,HSE Advisor
MR-B950B374CF,1,Shield the reboiler exhaust stack with thermal insulation so its surface temperature can no longer ignite glycol vapor released nearby.,,,,,,,2021-10-09,,
MR-9A4DE8C7CE,1,"Fit the drawworks with an independent anti-collision system that halts hoisting before the traveling assembly reaches the crown block, separate from the primary control system.",,,,,,,2021-10-22,SYN-61d3ee,HSE Advisor
MR-6415495ECB,1,Require a full-face respirator for personnel performing coating removal near non-destructive inspection work.,,,,,,,2021-11-15,SYN-d9a9ab,Operations Superintendent
MR-53D315F7CE,1,Establish a training program for glycol handling personnel that covers how hazards change as the material shifts from its liquid state to its vapor state.,,,,,,,2021-11-27,SYN-aff97b,Marine Coordinator
MR-96FEE8BC48,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2022-01-28,SYN-fc9601,Facility Engineer
MR-96FEE8BC48,2,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2021-12-25,SYN-5b1c9e,Operations Superintendent
MR-A96204B5AC,1,Shield the reboiler exhaust stack with thermal insulation so its surface temperature can no longer ignite glycol vapor released nearby.,,,,,,,2022-01-25,SYN-642ace,Maintenance Supervisor
MR-EE19EAE161,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2022-02-10,,
MR-EA823F30EF,1,Update the pre-job checklist to require confirmation of valve alignment before the fluid transfer sequence starts.,,,,,,,2022-03-28,SYN-48d732,Maintenance Supervisor
MR-EFEDC6804D,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2022-04-07,SYN-9de3fd,Production Foreman
MR-5D6FDE3142,1,Require fall-protection harnesses with full tie-off for all scaffold work above the deck.,,,,,,,2022-04-05,SYN-dd4c83,Maintenance Supervisor
MR-1FE966451D,1,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2022-05-29,SYN-082c7f,HSE Advisor
MR-E547FE328C,1,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2022-04-19,SYN-cd6085,Facility Engineer
MR-3F06C24828,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2022-05-28,SYN-54043e,Production Foreman
MR-DDB0AD4890,1,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2022-06-08,SYN-62fd12,Marine Coordinator
MR-49F3A78598,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2022-05-31,SYN-e6065f,Production Foreman
MR-29A9D9DEE5,1,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2022-06-22,SYN-ae062b,Facility Engineer
MR-2FFEB579D1,1,Require arc-rated clothing for personnel working inside the switch gear room.,,,,,,,2022-07-08,SYN-d710d6,Production Foreman
MR-9B1F5677D4,1,"Put a written open hole work procedure in place, and make sure platform crews know where to find it before starting that task.",,,,,,,2022-05-24,SYN-2d9f6b,Facility Engineer
MR-4FB2365ADD,1,Require a second qualified person to independently verify that lifting slings are rated for the calculated load before each pick.,,,,,,,2022-07-23,SYN-349fa8,Marine Coordinator
MR-55DCBB976D,1,Require a second qualified person to independently verify that lifting slings are rated for the calculated load before each pick.,,,,,,,2022-06-02,SYN-aedd05,HSE Advisor
MR-493E177265,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2022-08-02,SYN-6798ce,Maintenance Supervisor
MR-DB5C761307,1,Require a second qualified person to independently verify that lifting slings are rated for the calculated load before each pick.,,,,,,,2022-07-29,SYN-65c3a8,HSE Advisor
MR-97F31270BF,1,"Replace the compressor discharge run with piping rated for current operating pressure and service conditions, retiring the original carbon-steel section entirely.",,,,,,,2022-09-04,SYN-7cb4fc,Production Foreman
MR-6B4F28897E,1,Require a documented stop work authority briefing at the start of every shift changeover.,,,,,,,2022-08-12,SYN-436e03,Operations Superintendent
MR-B4718C00B5,1,Retrain riggers on proper hook inspection and load chart limitations and document completion.,,,,,,,2022-08-24,SYN-5ec14c,Production Foreman
MR-486CEFA1F7,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2022-10-23,SYN-2bac52,Facility Engineer
MR-3957ACD21E,1,Replace the local-only alarm panel with a remote-annunciating alarm system so the compressor alarm no longer requires a manual silence step at the unit.,,,,,,,2022-11-15,SYN-f85498,HSE Advisor
MR-0FDCA07752,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2022-11-26,SYN-522a78,Marine Coordinator
MR-3CEC7BB462,1,Install remote valve-position instrumentation on the elevated-platform valve so its status can be confirmed from the control room without a manual climb.,,,,,,,2022-11-17,SYN-e7fe92,Marine Coordinator
MR-88E308042C,1,Replace the local-only alarm panel with a remote-annunciating alarm system so the compressor alarm no longer requires a manual silence step at the unit.,,,,,,,2023-01-10,SYN-66a6ee,HSE Advisor
MR-E4906BC988,1,Update the pre-job checklist to require confirmation of valve alignment before the fluid transfer sequence starts.,,,,,,,2023-01-24,SYN-88e5eb,Operations Superintendent
MR-2CD6192D2A,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2023-01-24,SYN-576cca,Maintenance Supervisor
MR-2CD6192D2A,2,Require insulated gloves for personnel adjusting the compressor discharge cooler piping during operation.,,,,,,,2023-02-19,SYN-8157db,Marine Coordinator
MR-040E29E564,1,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2023-03-15,SYN-5b44f8,HSE Advisor
MR-6AB5133277,1,Require a documented hazard and operability review before commissioning any change to the ballast or bilge system.,,,,,,,2023-02-04,,
MR-FC4B92E167,1,"Reposition the flare vent outlet so prevailing gas flow is directed clear of any nearby ignition sources, including engine exhaust stacks.",,,,,,,2023-03-05,SYN-d7d60b,Operations Superintendent
MR-F26AC01DB9,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2023-03-04,SYN-e3a49d,Maintenance Supervisor
MR-0998CD05CC,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2023-03-26,SYN-1b9bcf,HSE Advisor
MR-59AB335D36,1,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2023-03-01,SYN-14984b,Marine Coordinator
MR-C2945460C7,1,"Upgrade the chain-handling hardware to a wider-jaw style that increases contact area and reduces slippage under load, removing the need for a hand in the pinch zone.",,,,,,,2023-04-02,SYN-cb3942,Production Foreman
MR-60AA0395CC,1,Install remote valve-position instrumentation on the elevated-platform valve so its status can be confirmed from the control room without a manual climb.,,,,,,,2023-05-02,SYN-2e911f,Maintenance Supervisor
MR-60AA0395CC,2,Require a full-face respirator for personnel performing coating removal near non-destructive inspection work.,,,,,,,2023-03-11,SYN-4d91a7,Production Foreman
MR-C9CC4F5743,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2023-03-25,SYN-a4a379,Production Foreman
MR-1701320A55,1,Require hearing protection for personnel working near running cooling fans on control panel enclosures.,,,,,,,2023-04-25,SYN-77432d,Facility Engineer
MR-1701320A55,2,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2023-04-26,SYN-e171b0,Maintenance Supervisor
MR-CD886E8526,1,"Replace the compressor discharge run with piping rated for current operating pressure and service conditions, retiring the original carbon-steel section entirely.",,,,,,,2023-03-28,SYN-33ae30,Production Foreman
MR-99C053DF01,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2023-05-14,SYN-cf0acd,Production Foreman
MR-CFF0292C6B,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2023-04-22,SYN-730625,Marine Coordinator
MR-40DBFD9877,1,Eliminate the pinch point at the hook throat by removing the practice of guiding slack chain by hand.,,,,,,,2023-04-18,SYN-ed84cd,Marine Coordinator
MR-9F5336814F,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2023-04-29,SYN-efdceb,Maintenance Supervisor
MR-C9CAEDB977,1,Add a maintenance program requirement that specifies inspection frequency for control panel enclosures.,,,,,,,2023-07-24,SYN-f6c386,Production Foreman
MR-7AC255EE59,1,Upgrade the switch gear enclosure with forced ventilation sized for the unit's full duty cycle.,,,,,,,2023-07-10,SYN-f159a7,HSE Advisor
MR-EF86599EEB,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2023-06-07,SYN-aa4b75,Maintenance Supervisor
MR-6F927ADA24,1,Eliminate hot work on this tie-in by replacing the cut-and-weld connection with a bolted mechanical coupling that requires no welding at all.,,,,,,,2023-10-16,SYN-dc1820,Facility Engineer
MR-5455537EDE,1,"Replace the compressor discharge run with piping rated for current operating pressure and service conditions, retiring the original carbon-steel section entirely.",,,,,,,2023-08-25,SYN-911816,HSE Advisor
MR-78B0D91D15,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2023-09-01,SYN-a22466,Operations Superintendent
MR-AFEB2154F1,1,"Put a written open hole work procedure in place, and make sure platform crews know where to find it before starting that task.",,,,,,,2023-07-30,SYN-b3b266,Maintenance Supervisor
MR-BF5907AF73,1,Eliminate the scaffolding plank gap by removing loose planking before work resumes on that level.,,,,,,,2023-08-26,SYN-c2bb4c,Maintenance Supervisor
MR-F088ECE308,1,Require flame-resistant coveralls for all personnel working near the reboiler stack during startup.,,,,,,,2023-08-09,SYN-cf4a5f,Marine Coordinator
MR-9A62364182,1,Eliminate the need for personnel to enter the tank for manual gauging by removing that step from the procedure now that the existing remote level reading is confirmed reliable.,,,,,,,2023-09-17,SYN-2128d4,Facility Engineer
MR-D987632624,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2023-10-12,SYN-e0ef4e,Marine Coordinator
MR-46EED0583D,1,"Upgrade the chain-handling hardware to a wider-jaw style that increases contact area and reduces slippage under load, removing the need for a hand in the pinch zone.",,,,,,,2023-09-08,SYN-91539f,HSE Advisor
MR-5FCC8AB79F,1,Require a full-face respirator for personnel performing coating removal near non-destructive inspection work.,,,,,,,2023-10-16,SYN-40d538,Production Foreman
MR-5FCC8AB79F,2,Replace the local-only alarm panel with a remote-annunciating alarm system so the compressor alarm no longer requires a manual silence step at the unit.,,,,,,,2023-09-25,SYN-b28ea9,Operations Superintendent
MR-1267817FB1,1,Add a maintenance program requirement that specifies inspection frequency for control panel enclosures.,,,,,,,2023-09-26,SYN-ed3801,Facility Engineer
MR-40D9CE105E,1,Establish a training program for glycol handling personnel that covers how hazards change as the material shifts from its liquid state to its vapor state.,,,,,,,2023-11-06,SYN-da1058,Marine Coordinator
MR-0D7DD27DF5,1,Require a second qualified person to independently verify that lifting slings are rated for the calculated load before each pick.,,,,,,,2023-11-09,SYN-933c85,Operations Superintendent
MR-622212BDDA,1,Update the pre-job checklist to require confirmation of valve alignment before the fluid transfer sequence starts.,,,,,,,2023-11-30,SYN-efda31,Operations Superintendent
MR-8A9C41C03E,1,Retrain riggers on proper hook inspection and load chart limitations and document completion.,,,,,,,2024-01-05,SYN-95fc78,Maintenance Supervisor
MR-095AD5D787,1,Retrain riggers on proper hook inspection and load chart limitations and document completion.,,,,,,,2023-12-20,SYN-92edff,Operations Superintendent
MR-095AD5D787,2,Remove the pad eye from the rigging path entirely and route the load line around the structural member instead.,,,,,,,2024-01-12,SYN-236b6f,Facility Engineer
MR-77D5A5EDC1,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2024-01-19,SYN-6b9308,Operations Superintendent
MR-84EA3B76B2,1,Replace the local-only alarm panel with a remote-annunciating alarm system so the compressor alarm no longer requires a manual silence step at the unit.,,,,,,,2024-01-26,SYN-d131f1,Production Foreman
MR-E78F775ED4,1,"Upgrade the chain-handling hardware to a wider-jaw style that increases contact area and reduces slippage under load, removing the need for a hand in the pinch zone.",,,,,,,2024-01-21,SYN-8dda0e,Maintenance Supervisor
MR-E78F775ED4,2,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2024-01-25,SYN-8b144b,Facility Engineer
MR-F985404F38,1,Require a documented stop work authority briefing at the start of every shift changeover.,,,,,,,2024-01-01,SYN-8ae56c,Maintenance Supervisor
MR-1377723F20,1,"Put a written open hole work procedure in place, and make sure platform crews know where to find it before starting that task.",,,,,,,2024-02-19,SYN-ebafcb,HSE Advisor
MR-FA0E84A6A5,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2024-03-06,SYN-c4ed5b,Operations Superintendent
MR-FA0E84A6A5,2,Revise the job safety analysis template to require a documented review of hazard controls before work begins.,,,,,,,2024-02-02,SYN-49a767,Marine Coordinator
MR-A5FC5FCE5E,1,Require a documented hazard and operability review before commissioning any change to the ballast or bilge system.,,,,,,,2024-01-25,SYN-c2c836,Facility Engineer
MR-7185C38ED6,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2024-03-01,SYN-fcd569,Production Foreman
MR-CCA4644FC7,1,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2024-03-16,SYN-60b60b,Maintenance Supervisor
MR-C350609AFC,1,Install remote valve-position instrumentation on the elevated-platform valve so its status can be confirmed from the control room without a manual climb.,,,,,,,2024-04-08,SYN-11c667,Production Foreman
MR-7902EAA81E,1,"Reposition the flare vent outlet so prevailing gas flow is directed clear of any nearby ignition sources, including engine exhaust stacks.",,,,,,,2024-03-27,SYN-af3e73,Production Foreman
MR-7902EAA81E,2,"Replace the compressor discharge run with piping rated for current operating pressure and service conditions, retiring the original carbon-steel section entirely.",,,,,,,2024-05-01,SYN-a0b57f,Facility Engineer
MR-41B9B8EF34,1,Eliminate hot work on this tie-in by replacing the cut-and-weld connection with a bolted mechanical coupling that requires no welding at all.,,,,,,,2024-03-31,SYN-bb326e,Production Foreman
MR-B3AD0B3EFA,1,Add a maintenance program requirement that specifies inspection frequency for control panel enclosures.,,,,,,,2024-05-15,SYN-3b6ee8,Operations Superintendent
