Incident Number,Recommendation Number,Recommendation Description,Unmittigated Risk - Score,Unmittigated Risk - Consequence,Unmittigated Risk - Likelihood,Mittigated Risk - Score,Mittigated Risk - Consequence,Mittigated Risk - Likelihood,Agreed Completion Date,Responsible Owner - Name,Responsible Owner - Position
NS-C42558E3D5,1,Require fall-protection harnesses with full tie-off for all scaffold work above the deck.,,,,,,,2021-03-16,SYN-8037be,Marine Coordinator
NS-B125B85E7E,1,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2021-04-27,SYN-29c65c,Facility Engineer
NS-B125B85E7E,2,Shield the reboiler exhaust stack with thermal insulation so its surface temperature can no longer ignite glycol vapor released nearby.,,,,,,,2021-03-23,SYN-996ad1,Operations Superintendent
NS-4710EE8790,1,Add a mechanical stop that halts the traveling block before it can strike the crown block.,,,,,,,2021-03-24,SYN-849567,Facility Engineer
NS-28D57F30B3,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2021-04-01,SYN-eb7867,Operations Superintendent
NS-9563B7C1CA,1,Update the pre-job checklist to require confirmation of valve alignment before the fluid transfer sequence starts.,,,,,,,2021-04-07,SYN-0f9ce2,HSE Advisor
NS-DBA06F51F9,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2021-07-14,SYN-1ce3a3,Production Foreman
NS-DBA06F51F9,2,Replace the local-only alarm panel with a remote-annunciating alarm system so the compressor alarm no longer requires a manual silence step at the unit.,,,,,,,2021-06-07,SYN-c5cd3b,Operations Superintendent
NS-A495397DCE,1,Require steel-toed boots rated for wet deck conditions during all fluid transfer work.,,,,,,,2021-05-29,SYN-0efbe7,Production Foreman
NS-8497899769,1,Replace the local-only alarm panel with a remote-annunciating alarm system so the compressor alarm no longer requires a manual silence step at the unit.,,,,,,,2021-06-13,SYN-3f2107,Facility Engineer
NS-8497899769,2,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2021-07-28,SYN-a89844,Marine Coordinator
NS-E9FFCBE6B5,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2021-10-01,SYN-4185e4,Marine Coordinator
NS-656F70413F,1,Fit the load hook with a self-latching mechanism so a hand is never needed to hold slack chain in place at the throat.,,,,,,,2021-08-26,SYN-bc1a59,Maintenance Supervisor
NS-F1B9AA531C,1,"Fit the drawworks with an independent anti-collision system that halts hoisting before the traveling assembly reaches the crown block, separate from the primary control system.",,,,,,,2021-08-05,SYN-262dd9,Production Foreman
NS-9F7015D96B,1,Require cut-resistant gloves for personnel handling wire rope during high-frequency crane operations.,,,,,,,2021-10-13,SYN-09175f,Marine Coordinator
NS-DA9C4FA9ED,1,Require a second qualified person to independently verify that lifting slings are rated for the calculated load before each pick.,,,,,,,2021-09-15,SYN-5dddd4,Marine Coordinator
NS-DA9C4FA9ED,2,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2021-11-07,SYN-a7b853,Marine Coordinator
NS-4955485885,1,"Upgrade the chain-handling hardware to a wider-jaw style that increases contact area and reduces slippage under load, removing the need for a hand in the pinch zone.",,,,,,,2021-11-29,SYN-9507e0,Maintenance Supervisor
NS-0CB854E630,1,"Give the compressor blowdown discharge its own dedicated relief path to atmosphere, isolated from other plant piping, so back-pressure from elsewhere cannot reach it.",,,,,,,2021-10-23,SYN-6ab502,Marine Coordinator
